port,property_row,cell_index_zero_based,tree_id,normal_index_one_based,incoming_pdf_index_one_based,outgoing_storage_pdf_index_one_based,old_outgoing_pdf,replacement_incoming_equilibrium_pdf,domain_mass_delta_lattice,signed_port_mass_flow_kg_s
inlet,69657,201996,96609828,15,15,18,0.02795662222308966,0.027956984232982093,3.6200989243437287e-07,1.2526631203985742e-16
inlet,69663,202002,96610468,11,11,14,0.027956601838938108,0.027956964355397067,3.6251645895921114e-07,1.2544159929497253e-16
inlet,69664,202003,96610470,11,11,14,0.027956575347884843,0.02795693813483072,3.627869458767974e-07,1.2553519590470384e-16
inlet,69664,202003,96610470,11,15,18,0.027956122515199567,0.027956304965231663,1.8245003209627075e-07,6.313319920227513e-17
inlet,69665,202004,96610472,1,1,4,0.05591237938460654,0.055912740736298885,3.6135169234619013e-07,1.2503855501068753e-16
inlet,69665,202004,96610472,1,11,14,0.027956188756049064,0.027956370368149443,1.816121003792026e-07,6.28432496231835e-17
inlet,69665,202004,96610472,1,15,18,0.02795618862153332,0.027956370368149443,1.8174661612149756e-07,6.288979611625108e-17
inlet,69667,202006,96610484,11,11,14,0.02795658968067921,0.027956952661400695,3.6298072148346905e-07,1.2560224809338248e-16
inlet,69667,202006,96610484,11,15,18,0.02795613708807441,0.027956319491472637,1.8240339822589435e-07,6.311706248037807e-17
inlet,69668,202007,96610486,11,11,14,0.02795657834592262,0.027956941195429817,3.6284950719750464e-07,1.255568440035131e-16
inlet,69668,202007,96610486,11,15,18,0.027956125834298205,0.02795630802576144,1.8219146323550373e-07,6.30437265986984e-17
inlet,69669,202008,96610488,1,1,4,0.0559123972201222,0.055912758583618084,3.6136349588350436e-07,1.2504263938964865e-16
inlet,69669,202008,96610488,1,11,14,0.027956197386922135,0.027956379291809042,1.8190488690686402e-07,6.29445625687731e-17
inlet,69669,202008,96610488,1,15,18,0.027956197647069362,0.027956379291809042,1.816447396801868e-07,6.28545438031142e-17
inlet,69670,202009,96610498,1,1,4,0.05591236636495439,0.05591272770361495,3.6133866056220487e-07,1.2503404562143257e-16
inlet,69670,202009,96610498,1,11,14,0.02795618208286718,0.027956363851807477,1.8176894029525714e-07,6.289752095188304e-17
