port,property_row,cell_index_zero_based,tree_id,normal_index_one_based,incoming_pdf_index_one_based,outgoing_storage_pdf_index_one_based,old_outgoing_pdf,replacement_incoming_equilibrium_pdf,domain_mass_delta_lattice,signed_port_mass_flow_kg_s
inlet,61526,183797,87650694,9,9,8,0.028127459673808575,0.028132543724147165,5.084050338589885e-06,1.7592343453862853e-15
inlet,61526,183797,87650694,9,12,13,0.02812906181491328,0.02813253452415877,3.472709245489619e-06,1.2016618580335127e-15
inlet,61527,183798,87650695,9,9,8,0.028128067383083634,0.028132542667245193,4.475284161559179e-06,1.5485829364470558e-15
inlet,61527,183798,87650695,9,12,13,0.0281284025499845,0.02813253857910622,4.13602912172073e-06,1.4311904878713541e-15
inlet,61528,183799,87650696,7,7,10,0.028132021872832324,0.02813341231436636,1.390441534035447e-06,4.811345952576085e-16
inlet,61528,183799,87650696,7,11,14,0.02813208957990287,0.028133523784775103,1.4342048722318368e-06,4.962780266747723e-16
inlet,61540,183823,87650736,9,9,8,0.028126741522416385,0.02813253355018819,5.792027771806679e-06,2.004215833240487e-15
inlet,61540,183823,87650736,9,12,13,0.02813026421569735,0.028132558443614997,2.2942279176464686e-06,7.93871869881441e-16
inlet,61543,183826,87650743,3,7,10,0.028132292254487372,0.028132890451725977,5.981972386048806e-07,2.0699423833022595e-16
inlet,61543,183826,87650743,3,9,8,0.028126626451267477,0.028132861504143642,6.23505287616552e-06,2.157515845543785e-15
inlet,61544,183827,87650744,3,7,10,0.028132657284854687,0.028133285571279237,6.282864245497899e-07,2.1740600174987778e-16
inlet,61544,183827,87650744,3,9,8,0.028126459174430764,0.028133261316388804,6.8021419580392706e-06,2.3537457259116858e-15
inlet,61547,183832,87650749,3,7,10,0.028132494941191168,0.028133117004323582,6.220631324146964e-07,2.15252555474508e-16
inlet,61547,183832,87650749,3,9,8,0.028127199004887794,0.02813305921959028,5.8602147024848505e-06,2.0278105623180094e-15
inlet,61548,183833,87650750,7,7,10,0.02813227707104493,0.028133895007164157,1.617936119226171e-06,5.598545647707215e-16
inlet,61548,183833,87650750,7,11,14,0.02813192827784186,0.02813446220330502,2.533925463159975e-06,8.768144307312833e-16
inlet,61549,183834,87650751,3,3,6,0.05625471288656024,0.05626952196526115,1.4809078700911416e-05,5.124386687602674e-15
inlet,61549,183834,87650751,3,7,10,0.028132558028293543,0.028134192141545417,1.6341132518735146e-06,5.654523392748525e-16
inlet,61549,183834,87650751,3,11,14,0.028132058347938693,0.028134705130378804,2.6467824401112117e-06,9.15866339494278e-16
inlet,61550,183835,87650752,3,3,6,0.05625373434833219,0.05626909264693043,1.5358298598243392e-05,5.314433292614049e-15
inlet,61550,183835,87650752,3,7,10,0.02813187168529763,0.028134332754683872,2.4610693862420208e-06,8.516040366068775e-16
inlet,61550,183835,87650752,3,11,14,0.028131446978759345,0.028134850658692152,3.403679932807019e-06,1.1777756394436075e-15
inlet,61550,183835,87650752,3,12,13,0.028129016172601412,0.02813424199153,5.225818928589199e-06,1.808290541925235e-15
inlet,61551,183840,87650757,3,3,6,0.056254545036234754,0.056269375465091864,1.4830428857109945e-05,5.131774483860064e-15
inlet,61551,183840,87650757,3,7,10,0.028132464764435126,0.02813410908840914,1.6443239740128457e-06,5.68985556273583e-16
inlet,61551,183840,87650757,3,11,14,0.02813146848079246,0.028135004837331033,3.5363565385714e-06,1.2236857359503849e-15
inlet,61552,183841,87650758,3,3,6,0.056254385533287876,0.05626994010808077,1.5554574792894793e-05,5.382350759951369e-15
inlet,61552,183841,87650758,3,7,10,0.028132647575608107,0.028134311419839166,1.6638442310590307e-06,5.75740152380895e-16
inlet,61552,183841,87650758,3,11,14,0.02813097883470382,0.02813527491918224,4.296084478418172e-06,1.4865744557537984e-15
inlet,61552,183841,87650758,3,12,13,0.028130371358893354,0.028134665192201633,4.2938333082789826e-06,1.485795483170441e-15
inlet,61553,183842,87650759,3,3,6,0.05625329887361503,0.05627068725076002,1.7388377144988976e-05,6.0169015345507076e-15
inlet,61553,183842,87650759,3,7,10,0.028132232899574283,0.02813509163616491,2.858736590626715e-06,9.892088511534895e-16
inlet,61553,183842,87650759,3,9,8,0.02812632159811923,0.028135595616851767,9.274018732536443e-06,3.2090894439410843e-15
inlet,61553,183842,87650759,3,11,14,0.028130913342682147,0.028135204345488277,4.291002806130345e-06,1.484816044285508e-15
inlet,61553,183842,87650759,3,12,13,0.028129404579138578,0.028135482905961153,6.078326822575586e-06,2.103283916681976e-15
inlet,61554,183843,87650760,3,3,6,0.056253131637608624,0.056270978031315075,1.7846393706451302e-05,6.175389041954841e-15
inlet,61554,183843,87650760,3,7,10,0.028132348954307954,0.028135172764395384,2.823810087430184e-06,9.771232304582738e-16
inlet,61554,183843,87650760,3,9,8,0.028126233455647635,0.028135805270474063,9.571814826428438e-06,3.3121358501342185e-15
inlet,61554,183843,87650760,3,11,14,0.028130375769263312,0.028135453299468115,5.077530204802838e-06,1.7569781829703427e-15
inlet,61554,183843,87650760,3,12,13,0.02812991551101033,0.02813552473189229,5.609220881958726e-06,1.940959150521849e-15
inlet,61570,183877,87650798,9,9,8,0.028128754962888466,0.028132536043854676,3.7810809662107425e-06,1.3083677492243807e-15
inlet,61570,183877,87650798,9,12,13,0.028127718542060153,0.02813255330094408,4.834758883926621e-06,1.6729720033858396e-15
inlet,61571,183878,87650799,9,9,8,0.02812938052424222,0.02813311901507688,3.7384908346572987e-06,1.293630282595732e-15
inlet,61571,183878,87650799,9,12,13,0.028127026773885566,0.02813310803226408,6.081258378514559e-06,2.1042983232180632e-15
inlet,61572,183879,87650800,7,7,10,0.02813218224907283,0.028133709577638333,1.5273285655023616e-06,5.285016257070675e-16
inlet,61572,183879,87650800,7,11,14,0.028132011442050846,0.02813337173762087,1.3602955700256492e-06,4.70703184919621e-16
inlet,61574,183884,87650805,7,7,10,0.028132081419425494,0.02813351134041526,1.4299209897643272e-06,4.947956744818294e-16
inlet,61574,183884,87650805,7,11,14,0.028132043487473373,0.028133433869247968,1.3903817745949953e-06,4.811139166936483e-16
inlet,61575,183885,87650806,3,3,6,0.056254034272120085,0.056269389293961795,1.5355021841710614e-05,5.3132994362888716e-15
