cell_index,tree_id,i,j,k,x_m,y_m,z_m,port_boundary_labels,boundary_cap_representation
0,20969928,15,123,119,8.118277157903459e-05,7.877635942453768e-05,0.00011210639894086849,outlet_02,True
1,20970022,15,126,117,8.118277157903459e-05,7.937635942453769e-05,0.00011170639894086849,outlet_02,True
2,20970024,15,127,117,8.118277157903459e-05,7.957635942453768e-05,0.00011170639894086849,outlet_02,True
3,20971684,15,123,120,8.118277157903459e-05,7.877635942453768e-05,0.00011230639894086849,outlet_02,True
4,20971686,15,122,121,8.118277157903459e-05,7.857635942453769e-05,0.00011250639894086848,outlet_02,True
6,20971717,14,122,123,8.09827715790346e-05,7.857635942453769e-05,0.00011290639894086848,outlet_02,True
20,20971936,13,123,125,8.078277157903459e-05,7.877635942453768e-05,0.00011330639894086849,outlet_02,True
21,20971937,14,122,124,8.09827715790346e-05,7.857635942453769e-05,0.00011310639894086848,outlet_02,True
42,20972079,12,125,127,8.05827715790346e-05,7.917635942453769e-05,0.00011370639894086848,outlet_02,True
378,24565143,14,129,117,8.09827715790346e-05,7.997635942453768e-05,0.00011170639894086849,outlet_02,True
380,24565157,14,130,117,8.09827715790346e-05,8.017635942453769e-05,0.00011170639894086849,outlet_02,True
424,24567051,12,133,120,8.05827715790346e-05,8.077635942453769e-05,0.00011230639894086849,outlet_02,True
451,24567158,11,128,127,8.03827715790346e-05,7.977635942453769e-05,0.00011370639894086848,outlet_02,True
509,24567250,11,132,124,8.03827715790346e-05,8.05763594245377e-05,0.00011310639894086848,outlet_02,True
142308,85600925,500,418,201,0.0001781827715790346,0.0001377763594245377,0.00012850639894086848,outlet_03,True
142309,85600927,500,419,201,0.0001781827715790346,0.00013797635942453768,0.00012850639894086848,outlet_03,True
142310,85600939,500,417,202,0.0001781827715790346,0.0001375763594245377,0.00012870639894086848,outlet_03,True
142312,85600953,500,418,202,0.0001781827715790346,0.0001377763594245377,0.00012870639894086848,outlet_03,True
142353,85601037,500,420,201,0.0001781827715790346,0.00013817635942453769,0.00012850639894086848,outlet_03,True
142482,85601908,499,425,202,0.00017798277157903458,0.00013917635942453768,0.00012870639894086848,outlet_03,True
142485,85601926,499,426,203,0.00017798277157903458,0.0001393763594245377,0.0001289063989408685,outlet_03,True
142503,85602146,499,426,204,0.00017798277157903458,0.0001393763594245377,0.0001291063989408685,outlet_03,True
142504,85602148,499,427,204,0.00017798277157903458,0.0001395763594245377,0.0001291063989408685,outlet_03,True
142507,85602152,499,427,205,0.00017798277157903458,0.0001395763594245377,0.0001293063989408685,outlet_03,True
142529,85602180,499,427,206,0.00017798277157903458,0.0001395763594245377,0.0001295063989408685,outlet_03,True
142532,85602184,499,427,207,0.00017798277157903458,0.0001395763594245377,0.00012970639894086848,outlet_03,True
143553,85615629,500,420,213,0.0001781827715790346,0.00013817635942453769,0.00013090639894086848,outlet_03,True
143554,85615631,500,421,213,0.0001781827715790346,0.0001383763594245377,0.00013090639894086848,outlet_03,True
143555,85615645,500,422,213,0.0001781827715790346,0.00013857635942453767,0.00013090639894086848,outlet_03,True
143556,85615647,500,423,213,0.0001781827715790346,0.00013877635942453767,0.00013090639894086848,outlet_03,True
143576,85616228,499,427,208,0.00017798277157903458,0.0001395763594245377,0.00012990639894086849,outlet_03,True
143578,85616232,499,427,209,0.00017798277157903458,0.0001395763594245377,0.0001301063989408685,outlet_03,True
182096,135152368,177,501,387,0.00011358277157903459,0.00015437635942453767,0.0001657063989408685,outlet_01,True
182165,135152507,176,499,390,0.00011338277157903458,0.00015397635942453766,0.00016630639894086848,outlet_01,True
182166,135152509,176,498,391,0.00011338277157903458,0.00015377635942453769,0.00016650639894086848,outlet_01,True
182203,135152585,176,500,388,0.00011338277157903458,0.00015417635942453767,0.00016590639894086847,outlet_01,True
182204,135152589,176,500,389,0.00011338277157903458,0.00015417635942453767,0.00016610639894086847,outlet_01,True
182267,135152887,186,501,387,0.00011538277157903459,0.00015437635942453767,0.0001657063989408685,outlet_01,True
182293,135153000,187,499,389,0.00011558277157903458,0.00015397635942453766,0.00016610639894086847,outlet_01,True
182305,135153028,187,499,390,0.00011558277157903458,0.00015397635942453766,0.00016630639894086848,outlet_01,True
182306,135153030,187,498,391,0.00011558277157903458,0.00015377635942453769,0.00016650639894086848,outlet_01,True
182307,135153106,187,500,388,0.00011558277157903458,0.00015417635942453767,0.00016590639894086847,outlet_01,True
182309,135154252,177,497,392,0.00011358277157903459,0.00015357635942453768,0.00016670639894086849,outlet_01,True
182319,135154771,186,497,392,0.00011538277157903459,0.00015357635942453768,0.00016670639894086849,outlet_01,True
