classification,location_evidence,cell_index,tree_id,direction_index_zero_based,direction,q_seeder,q_oracle,triangle_aabb_candidate_count,port_boundary_labels,x_m,y_m,z_m
SEEDER_ONLY_INTERSECTION,BOUNDARY_CAP_CELL,0,20969928,3,1 0 0,1.0,,2,outlet_02,8.118277157903459e-05,7.877635942453768e-05,0.00011210639894086849
SEEDER_ONLY_INTERSECTION,BOUNDARY_CAP_CELL,0,20969928,7,0 -1 1,1.0,,0,outlet_02,8.118277157903459e-05,7.877635942453768e-05,0.00011210639894086849
SEEDER_ONLY_INTERSECTION,BOUNDARY_CAP_CELL,1,20970022,3,1 0 0,1.0,,1,outlet_02,8.118277157903459e-05,7.937635942453769e-05,0.00011170639894086849
SEEDER_ONLY_INTERSECTION,BOUNDARY_CAP_CELL,1,20970022,16,1 -1 0,1.0,,1,outlet_02,8.118277157903459e-05,7.937635942453769e-05,0.00011170639894086849
SEEDER_ONLY_INTERSECTION,BOUNDARY_CAP_CELL,3,20971684,1,0 -1 0,1.0,,0,outlet_02,8.118277157903459e-05,7.877635942453768e-05,0.00011230639894086849
SEEDER_ONLY_INTERSECTION,BOUNDARY_CAP_CELL,4,20971686,2,0 0 -1,1.0,,1,outlet_02,8.118277157903459e-05,7.857635942453769e-05,0.00011250639894086848
SEEDER_ONLY_INTERSECTION,BOUNDARY_CAP_CELL,4,20971686,3,1 0 0,1.0,,1,outlet_02,8.118277157903459e-05,7.857635942453769e-05,0.00011250639894086848
SEEDER_ONLY_INTERSECTION,BOUNDARY_CAP_CELL,4,20971686,11,1 0 -1,1.0,,1,outlet_02,8.118277157903459e-05,7.857635942453769e-05,0.00011250639894086848
SEEDER_ONLY_INTERSECTION,BOUNDARY_CAP_CELL,4,20971686,13,1 0 1,1.0,,3,outlet_02,8.118277157903459e-05,7.857635942453769e-05,0.00011250639894086848
SEEDER_ONLY_INTERSECTION,BOUNDARY_CAP_CELL,20,20971936,1,0 -1 0,1.0,,0,outlet_02,8.078277157903459e-05,7.877635942453768e-05,0.00011330639894086849
SEEDER_ONLY_INTERSECTION,BOUNDARY_CAP_CELL,20,20971936,5,0 0 1,1.0,,2,outlet_02,8.078277157903459e-05,7.877635942453768e-05,0.00011330639894086849
SEEDER_ONLY_INTERSECTION,BOUNDARY_CAP_CELL,21,20971937,5,0 0 1,1.0,,1,outlet_02,8.09827715790346e-05,7.857635942453769e-05,0.00011310639894086848
SEEDER_ONLY_INTERSECTION,BOUNDARY_CAP_CELL,21,20971937,12,-1 0 1,1.0,,1,outlet_02,8.09827715790346e-05,7.857635942453769e-05,0.00011310639894086848
SEEDER_ONLY_INTERSECTION,BOUNDARY_CAP_CELL,23,20971943,14,-1 -1 0,1.0,,3,outlet_02,8.09827715790346e-05,7.877635942453768e-05,0.00011330639894086849
SEEDER_ONLY_INTERSECTION,BOUNDARY_CAP_CELL,41,20972074,12,-1 0 1,1.0,,2,outlet_02,8.078277157903459e-05,7.897635942453768e-05,0.00011350639894086849
SEEDER_ONLY_INTERSECTION,BOUNDARY_CAP_CELL,42,20972079,1,0 -1 0,1.0,,1,outlet_02,8.05827715790346e-05,7.917635942453769e-05,0.00011370639894086848
SEEDER_ONLY_INTERSECTION,BOUNDARY_CAP_CELL,43,20972080,14,-1 -1 0,1.0,,5,outlet_02,8.078277157903459e-05,7.917635942453769e-05,0.00011370639894086848
SEEDER_ONLY_INTERSECTION,BOUNDARY_CAP_CELL,54,20972093,12,-1 0 1,1.0,,2,outlet_02,8.05827715790346e-05,7.937635942453769e-05,0.00011370639894086848
SEEDER_ONLY_INTERSECTION,BOUNDARY_CAP_CELL,380,24565157,3,1 0 0,1.0,,1,outlet_02,8.09827715790346e-05,8.017635942453769e-05,0.00011170639894086849
SEEDER_ONLY_INTERSECTION,BOUNDARY_CAP_CELL,380,24565157,4,0 1 0,1.0,,0,outlet_02,8.09827715790346e-05,8.017635942453769e-05,0.00011170639894086849
SEEDER_ONLY_INTERSECTION,BOUNDARY_CAP_CELL,380,24565157,17,1 1 0,1.0,,1,outlet_02,8.09827715790346e-05,8.017635942453769e-05,0.00011170639894086849
SEEDER_ONLY_INTERSECTION,BOUNDARY_CAP_CELL,385,24565187,0,-1 0 0,1.0,,0,outlet_02,8.09827715790346e-05,8.037635942453769e-05,0.00011190639894086848
SEEDER_ONLY_INTERSECTION,BOUNDARY_CAP_CELL,389,24565294,2,0 0 -1,1.0,,1,outlet_02,8.078277157903459e-05,8.05763594245377e-05,0.00011210639894086849
SEEDER_ONLY_INTERSECTION,BOUNDARY_CAP_CELL,389,24565294,6,0 -1 -1,1.0,,1,outlet_02,8.078277157903459e-05,8.05763594245377e-05,0.00011210639894086849
SEEDER_ONLY_INTERSECTION,BOUNDARY_CAP_CELL,389,24565294,15,-1 1 0,1.0,,2,outlet_02,8.078277157903459e-05,8.05763594245377e-05,0.00011210639894086849
SEEDER_ONLY_INTERSECTION,BOUNDARY_CAP_CELL,424,24567051,2,0 0 -1,1.0,,0,outlet_02,8.05827715790346e-05,8.077635942453769e-05,0.00011230639894086849
SEEDER_ONLY_INTERSECTION,BOUNDARY_CAP_CELL,424,24567051,3,1 0 0,1.0,,1,outlet_02,8.05827715790346e-05,8.077635942453769e-05,0.00011230639894086849
SEEDER_ONLY_INTERSECTION,BOUNDARY_CAP_CELL,424,24567051,11,1 0 -1,1.0,,1,outlet_02,8.05827715790346e-05,8.077635942453769e-05,0.00011230639894086849
SEEDER_ONLY_INTERSECTION,BOUNDARY_CAP_CELL,426,24567055,12,-1 0 1,1.0,,1,outlet_02,8.05827715790346e-05,8.077635942453769e-05,0.00011250639894086848
SEEDER_ONLY_INTERSECTION,BOUNDARY_CAP_CELL,437,24567083,0,-1 0 0,1.0,,0,outlet_02,8.05827715790346e-05,8.077635942453769e-05,0.00011270639894086849
SEEDER_ONLY_INTERSECTION,BOUNDARY_CAP_CELL,440,24567087,10,-1 0 -1,1.0,,3,outlet_02,8.05827715790346e-05,8.077635942453769e-05,0.00011290639894086848
SEEDER_ONLY_INTERSECTION,BOUNDARY_CAP_CELL,451,24567158,7,0 -1 1,1.0,,3,outlet_02,8.03827715790346e-05,7.977635942453769e-05,0.00011370639894086848
SEEDER_ONLY_INTERSECTION,BOUNDARY_CAP_CELL,509,24567250,8,0 1 -1,1.0,,3,outlet_02,8.03827715790346e-05,8.05763594245377e-05,0.00011310639894086848
SEEDER_ONLY_INTERSECTION,BOUNDARY_CAP_CELL,142308,85600925,0,-1 0 0,1.0,,2,outlet_03,0.0001781827715790346,0.0001377763594245377,0.00012850639894086848
SEEDER_ONLY_INTERSECTION,BOUNDARY_CAP_CELL,142308,85600925,14,-1 -1 0,1.0,,2,outlet_03,0.0001781827715790346,0.0001377763594245377,0.00012850639894086848
SEEDER_ONLY_INTERSECTION,BOUNDARY_CAP_CELL,142310,85600939,1,0 -1 0,1.0,,1,outlet_03,0.0001781827715790346,0.0001375763594245377,0.00012870639894086848
SEEDER_ONLY_INTERSECTION,BOUNDARY_CAP_CELL,142353,85601037,10,-1 0 -1,1.0,,2,outlet_03,0.0001781827715790346,0.00013817635942453769,0.00012850639894086848
SEEDER_ONLY_INTERSECTION,BOUNDARY_CAP_CELL,142480,85601906,8,0 1 -1,1.0,,1,outlet_03,0.00017798277157903458,0.00013897635942453768,0.00012870639894086848
SEEDER_ONLY_INTERSECTION,BOUNDARY_CAP_CELL,142482,85601908,2,0 0 -1,1.0,,0,outlet_03,0.00017798277157903458,0.00013917635942453768,0.00012870639894086848
SEEDER_ONLY_INTERSECTION,BOUNDARY_CAP_CELL,142482,85601908,4,0 1 0,1.0,,0,outlet_03,0.00017798277157903458,0.00013917635942453768,0.00012870639894086848
SEEDER_ONLY_INTERSECTION,BOUNDARY_CAP_CELL,142482,85601908,6,0 -1 -1,1.0,,1,outlet_03,0.00017798277157903458,0.00013917635942453768,0.00012870639894086848
SEEDER_ONLY_INTERSECTION,BOUNDARY_CAP_CELL,142485,85601926,2,0 0 -1,1.0,,0,outlet_03,0.00017798277157903458,0.0001393763594245377,0.0001289063989408685
SEEDER_ONLY_INTERSECTION,BOUNDARY_CAP_CELL,142485,85601926,10,-1 0 -1,1.0,,3,outlet_03,0.00017798277157903458,0.0001393763594245377,0.0001289063989408685
SEEDER_ONLY_INTERSECTION,BOUNDARY_CAP_CELL,142504,85602148,0,-1 0 0,1.0,,0,outlet_03,0.00017798277157903458,0.0001395763594245377,0.0001291063989408685
SEEDER_ONLY_INTERSECTION,BOUNDARY_CAP_CELL,143556,85615647,0,-1 0 0,1.0,,0,outlet_03,0.0001781827715790346,0.00013877635942453767,0.00013090639894086848
SEEDER_ONLY_INTERSECTION,BOUNDARY_CAP_CELL,143556,85615647,4,0 1 0,1.0,,0,outlet_03,0.0001781827715790346,0.00013877635942453767,0.00013090639894086848
SEEDER_ONLY_INTERSECTION,BOUNDARY_CAP_CELL,143556,85615647,15,-1 1 0,1.0,,0,outlet_03,0.0001781827715790346,0.00013877635942453767,0.00013090639894086848
SEEDER_ONLY_INTERSECTION,BOUNDARY_CAP_CELL,143578,85616232,5,0 0 1,1.0,,0,outlet_03,0.00017798277157903458,0.0001395763594245377,0.0001301063989408685
SEEDER_ONLY_INTERSECTION,BOUNDARY_CAP_CELL,143599,85616466,13,1 0 1,1.0,,2,outlet_03,0.00017798277157903458,0.00013897635942453768,0.00013070639894086848
SEEDER_ONLY_INTERSECTION,BOUNDARY_CAP_CELL,153014,87763044,5,0 0 1,1.0,,0,inlet,0.0001027827715790346,5.637635942453769e-05,0.00015870639894086848
