port,property_row,cell_index_zero_based,tree_id,normal_index_one_based,incoming_pdf_index_one_based,outgoing_storage_pdf_index_one_based,old_outgoing_pdf,replacement_incoming_equilibrium_pdf,domain_mass_delta_lattice,signed_port_mass_flow_kg_s
inlet,61526,183797,87650694,9,9,8,0.02812795621515086,0.028133040291134434,5.08407598357255e-06,1.7592432193216885e-15
inlet,61526,183797,87650694,9,12,13,0.02812955848236957,0.02813303108836111,3.4726059915390906e-06,1.201626129060751e-15
inlet,61527,183798,87650695,9,9,8,0.028128563981120805,0.02813303923256776,4.4752514469538485e-06,1.548571616209556e-15
inlet,61527,183798,87650695,9,12,13,0.028128899169991898,0.028133035144240433,4.135974248534874e-06,1.4311715000984625e-15
inlet,61528,183799,87650696,7,7,10,0.028132518524666087,0.02813390885889753,1.3903342314415534e-06,4.810974653324593e-16
inlet,61528,183799,87650696,7,11,14,0.028132586237065618,0.02813402034157384,1.4341045082230663e-06,4.962432977087884e-16
inlet,61540,183823,87650736,9,9,8,0.02812723800072052,0.02813303012002525,5.792119304730281e-06,2.004247506385364e-15
inlet,61540,183823,87650736,9,12,13,0.028130760931254675,0.028133055006032616,2.294074777940691e-06,7.938188789367997e-16
inlet,61543,183826,87650743,3,7,10,0.028132788858936678,0.028133386986844214,5.981279075362167e-07,2.069702476949897e-16
inlet,61543,183826,87650743,3,9,8,0.028127122926155768,0.028133358052189972,6.235126034204175e-06,2.1575411604257535e-15
inlet,61544,183827,87650744,3,7,10,0.028133153895101664,0.028133782115218046,6.282201163824996e-07,2.173830571294457e-16
inlet,61544,183827,87650744,3,9,8,0.028126955646208623,0.028133757875961864,6.802229753240935e-06,2.353776105692341e-15
inlet,61547,183832,87650749,3,7,10,0.028132991548233933,0.028133613546981875,6.219987479412492e-07,2.1523027651001033e-16
inlet,61547,183832,87650749,3,9,8,0.028127695539062143,0.02813355577550909,5.8602364469452495e-06,2.0278180865553807e-15
inlet,61548,183833,87650750,7,7,10,0.028132773727971034,0.028134391551707993,1.6178237369594839e-06,5.598156771259892e-16
