port,property_row,cell_index_zero_based,tree_id,normal_index_one_based,incoming_pdf_index_one_based,outgoing_storage_pdf_index_one_based,old_outgoing_pdf,replacement_incoming_equilibrium_pdf,domain_mass_delta_lattice,signed_port_mass_flow_kg_s
inlet,61526,183797,87650694,9,9,8,0.02813188738982915,0.028136971668254636,5.084278425486477e-06,1.7593132703133598e-15
inlet,61526,183797,87650694,9,12,13,0.028133490652597494,0.028136962443496987,3.471790899493149e-06,1.2013440826948865e-15
inlet,61527,183798,87650695,9,9,8,0.028132495603351165,0.028136970596546743,4.4749931955787026e-06,1.5484822534655544e-15
inlet,61527,183798,87650695,9,12,13,0.02813283096565606,0.028136966506732544,4.135541076484561e-06,1.431021609539239e-15
inlet,61528,183799,87650696,7,7,10,0.028136450571568765,0.028137840058748163,1.3894871793984631e-06,4.808043598462246e-16
inlet,61528,183799,87650696,7,11,14,0.028136518326035552,0.02813795163826516,1.433312229608824e-06,4.959691454765198e-16
inlet,61540,183823,87650736,9,9,8,0.028131168677772687,0.028136961519641852,5.792841869165649e-06,2.0044975354147395e-15
inlet,61540,183823,87650736,9,12,13,0.028134693481194302,0.028136986347079767,2.292865885464984e-06,7.934005657767194e-16
inlet,61543,183826,87650743,3,7,10,0.028136720531784024,0.028137318112388825,5.97580604801834e-07,2.0678086448602702e-16
inlet,61543,183826,87650743,3,9,8,0.02813105357624307,0.02813728927978945,6.235703546381144e-06,2.1577409970105513e-15
inlet,61544,183827,87650744,3,7,10,0.028137085613715966,0.028137713310392404,6.276966764383329e-07,2.172019311636905e-16
inlet,61544,183827,87650744,3,9,8,0.028130886271742074,0.028137689194553582,6.802922811507961e-06,2.354015924699925e-15
inlet,61547,183832,87650749,3,7,10,0.028136923241554104,0.028137544732048006,6.214904939016996e-07,2.1505440532404467e-16
inlet,61547,183832,87650749,3,9,8,0.02813162665715619,0.02813748706525437,5.860408098180142e-06,2.0278774830459227e-15
inlet,61548,183833,87650750,7,7,10,0.028136705815072847,0.02813832275165818,1.6169365853330175e-06,5.59508695977711e-16
inlet,61548,183833,87650750,7,11,14,0.028136357319287722,0.028138890179302486,2.532860014763799e-06,8.764457535375187e-16
inlet,61549,183834,87650751,3,3,6,0.056263567023110084,0.056278377789756195,1.4810766646111695e-05,5.124970767415362e-15
inlet,61549,183834,87650751,3,7,10,0.02813698673510845,0.028138619897738252,1.63316262980287e-06,5.651233954436976e-16
