iteration,total_pdf_mass,wall_domain_kg_s,inlet_into_domain_kg_s,outlet_01_outward_kg_s,outlet_02_outward_kg_s,outlet_03_outward_kg_s,net_domain_kg_s
319166,222278.5921033317,1.785738623983565e-14,2.8901803805055404e-12,2.376902194415267e-13,1.3151335961965257e-12,1.2505357543925815e-12,1.0467819671474213e-13
324166,222280.02632642086,1.7854852954394084e-14,2.890180380513788e-12,2.387994620560226e-13,1.3218270156553161e-12,1.2533863361394633e-12,9.402241961738015e-14
329166,222281.3144926762,1.7852571644587335e-14,2.8901803804567052e-12,2.3979949820213764e-13,1.3278335745116892e-12,1.2559562923215804e-12,8.444358706588513e-14
334166,222282.47137533582,1.7850518013806324e-14,2.890180380495171e-12,2.407006296267698e-13,1.3332237818967581e-12,1.2582720914077317e-12,7.583439557771789e-14
339166,222283.51027332846,1.7848669953543032e-14,2.890180380500044e-12,2.415122784803123e-13,1.3380609038973408e-12,1.2603579426961021e-12,6.809792537983213e-14
344166,222284.44315442187,1.7847007376580042e-14,2.8901803804593762e-12,2.422430426969688e-13,1.3424017085768055e-12,1.2622359383649241e-12,6.114669819725787e-14
349166,222285.28078527533,1.784551206090444e-14,2.8901803804538816e-12,2.429007525477048e-13,1.3462971341695097e-12,1.2639261985961609e-12,5.490180720141049e-14
354166,222286.032849431,1.7844167494697397e-14,2.8901803805365956e-12,2.4349252690174033e-13,1.349792888413503e-12,1.2654470159883058e-12,4.9292116727743965e-14
359166,222286.70805422656,1.784295873258234e-14,2.8901803804756795e-12,2.4402482813755434e-13,1.3529299861394712e-12,1.2668149965374464e-12,4.4253528393789825e-14
364166,222287.31422756804,1.7841872261372956e-14,2.8901803804897125e-12,2.445035149771066e-13,1.3557452315121052e-12,1.268045195306182e-12,3.972831095569156e-14
369166,222287.85840543383,1.7840895871176764e-14,2.8901803805148373e-12,2.449338927530157e-13,1.3582716506318432e-12,1.269151245516963e-12,3.5664487484192256e-14
374166,222288.34691093865,1.7840018538978223e-14,2.8901803804753806e-12,2.453207608126886e-13,1.3605388796297963e-12,1.2701454803101245e-12,3.201527826174934e-14
379166,222288.78542571192,1.783923031935181e-14,2.8901803804688714e-12,2.4566845690227596e-13,1.3625735128421746e-12,1.2710390467462708e-12,2.873859429750166e-14
384166,222289.17905429858,1.7838522244873022e-14,2.8901803804594206e-12,2.4598089847551905e-13,1.3643994151859348e-12,1.2718420119282137e-12,2.5796577114626272e-14
389166,222289.53238223042,1.7837886233781758e-14,2.890180380505802e-12,2.462616209546841e-13,1.3660380024181736e-12,1.2725634612899834e-12,2.315518207674268e-14
394166,222289.84952835922,1.7837315006060273e-14,2.890180380497577e-12,2.4651381302142207e-13,1.3675084925948524e-12,1.273211589263974e-12,2.0783800623388926e-14
399166,222290.13419200113,1.783680200613806e-14,2.890180380495187e-12,2.467403490534008e-13,1.368828131687908e-12,1.2737937826199475e-12,1.8654919140068526e-14
404166,222290.38969538995,1.783634133355867e-14,2.8901803804633174e-12,2.4694381884986024e-13,1.3700123960237999e-12,1.2743166968399381e-12,1.674381008327815e-14
409166,222290.6190218881,1.7835927678900045e-14,2.890180380512908e-12,2.471265548041257e-13,1.371075173927593e-12,1.2747863259336407e-12,1.502825352644868e-14
414166,222290.824850369,1.783555626508169e-14,2.8901803805032067e-12,2.472906566836429e-13,1.3720289287109741e-12,1.275208066113324e-12,1.3488285260347331e-14
419166,222291.00958614968,1.7835222796925448e-14,2.8901803804540424e-12,2.4743801418926085e-13,1.3728848449228743e-12,1.2755867737605185e-12,1.2105970378314015e-14
424166,222291.17538880903,1.7834923412550744e-14,2.8901803805050133e-12,2.475703274570235e-13,1.3736529595824603e-12,1.2759268181050267e-12,1.086519877305349e-14
429166,222291.32419719946,1.783465463975921e-14,2.890180380488632e-12,2.476891256609495e-13,1.3743422799390135e-12,1.2762321290314583e-12,9.751500496970003e-15
434166,222291.45775192947,1.783441335711821e-14,2.890180380423809e-12,2.4779578387516057e-13,1.3749608891425831e-12,1.2765062404065968e-12,8.75188035658699e-15
439166,222291.57761557706,1.783419676118989e-14,2.890180380492135e-12,2.4789153833811864e-13,1.3755160410667401e-12,1.2767523293068194e-12,7.854668541646971e-15
444166,222291.6851908472,1.7834002332047058e-14,2.890180380473083e-12,2.479775002587372e-13,1.3760142453995405e-12,1.2769732514926133e-12,7.049385654238687e-15
449166,222291.781736892,1.7833827805925068e-14,2.8901803804994634e-12,2.480546682902062e-13,1.3764613440001496e-12,1.2771715734702841e-12,6.326622544748498e-15
454166,222291.86838396877,1.783367114899855e-14,2.890180380491525e-12,2.481239397955934e-13,1.3768625794202461e-12,1.2773496014332346e-12,5.677930991449685e-15
459166,222291.94614661104,1.783353053487743e-14,2.890180380489727e-12,2.4818612101075964e-13,1.3772226563904902e-12,1.2775094073912131e-12,5.0957262321413515e-15
464166,222292.01593545638,1.7833404323483557e-14,2.890180380523355e-12,2.482419362122205e-13,1.3775457970012446e-12,1.2776528527145474e-12,4.573198918826129e-15
469166,222292.07856786947,1.7833291041262312e-14,2.890180380462738e-12,2.482920359766108e-13,1.3778357902188357e-12,1.2777816093785226e-12,4.104235930030846e-15
469900,222292.08720510924,1.7833275418392553e-14,2.8901803804928508e-12,2.482989455162908e-13,1.3778757805160403e-12,1.2777993669364514e-12,4.0395629424606165e-15
