start_iteration,end_iteration,delta_iterations,legacy_average_net_kg_s,corrected_average_net_kg_s,actual_domain_mass_rate_kg_s,legacy_sign_contradiction,R_integrated_closure
319166,324166,5000,-8.81762167621232e-14,9.935030816606115e-14,9.925686605621339e-14,True,3.233089203665527e-05
324166,329166,5000,-9.83486258637893e-14,8.923300334163265e-14,8.914885447778322e-14,True,2.9115436675771804e-05
329166,334166,5000,-1.0749208039415723e-13,8.013899132180152e-14,8.006323985174562e-14,True,2.620994543022694e-05
334166,339166,5000,-1.1570927461657019e-13,7.196616047877501e-14,7.189799110070802e-14,True,2.3586547928772078e-05
339166,344166,5000,-1.2309292997362105e-13,6.462231178854501e-14,6.456098387658692e-14,True,2.1219406363799016e-05
344166,349166,5000,-1.2972670763141445e-13,5.802425269933419e-14,5.796909424694825e-14,True,1.9084778499799516e-05
349166,354166,5000,-1.3568604916875794e-13,5.209696196457723e-14,5.20473639907837e-14,True,1.7160857546646417e-05
354166,359166,5000,-1.4103894855252437e-13,4.6772822560766895e-14,4.672823388427735e-14,True,1.5427644859362493e-05
359166,364166,5000,-1.4584665877798302e-13,4.1990919674740694e-14,4.195084196942139e-14,True,1.3866852598535332e-05
364166,369166,5000,-1.5016433735705459e-13,3.769639921994191e-14,3.766038208630371e-14,True,1.2461898185127407e-05
369166,374166,5000,-1.540416346917448e-13,3.38398828729708e-14,3.380751978277588e-14,True,1.1197602202788434e-05
374166,379166,5000,-1.5752322930133935e-13,3.03769362796255e-14,3.0347860415039064e-14,True,1.0060224885206657e-05
379166,384166,5000,-1.6064931399257606e-13,2.7267585706063967e-14,2.7241466266845707e-14,True,9.037304174737701e-06
384166,389166,5000,-1.6345603687848093e-13,2.4475879595684474e-14,2.4452418503906252e-14,True,8.117518178682551e-06
389166,394166,5000,-1.6597590085213307e-13,2.1969491350065802e-14,2.1948420064086916e-14,True,7.290647366233362e-06
394166,399166,5000,-1.6823812517385518e-13,1.9719359881728727e-14,1.9700436556823735e-14,True,6.547454626983966e-06
399166,404166,5000,-1.7026897240973163e-13,1.769936461167334e-14,1.7682371614746097e-14,True,5.879562757402319e-06
404166,409166,5000,-1.7209204369494513e-13,1.5886031804863416e-14,1.5870773299621586e-14,True,5.2794300815571435e-06
409166,414166,5000,-1.7372854536478588e-13,1.4258269393398007e-14,1.4244569143615724e-14,True,4.74027499280498e-06
414166,419166,5000,-1.751975294777725e-13,1.2797127819330673e-14,1.2784827392761231e-14,True,4.25593732921168e-06
419166,424166,5000,-1.7651611064646063e-13,1.1485584575683752e-14,1.147454149584961e-14,True,3.8208964079631174e-06
424166,429166,5000,-1.7769966145358618e-13,1.0308349635011747e-14,1.0298435848754884e-14,True,3.4301617725380802e-06
429166,434166,5000,-1.7876198849716287e-13,9.251690426778496e-15,9.242790782043458e-15,True,3.079269652214147e-06
434166,439166,5000,-1.7971549086866132e-13,8.30327444911698e-15,8.29528551287842e-15,True,2.764165272353313e-06
439166,444166,5000,-1.8057130280032732e-13,7.45202709794283e-15,7.444855866760255e-15,True,2.481240005297818e-06
444166,449166,5000,-1.813394220845795e-13,6.688004099493593e-15,6.681567121582032e-15,True,2.227188986208479e-06
449166,454166,5000,-1.820288254795514e-13,6.002276768099091e-15,5.996498980957032e-15,True,1.9991095300079906e-06
454166,459166,5000,-1.8264757255398941e-13,5.386828611795518e-15,5.381642664733887e-15,True,1.7943333560269005e-06
459166,464166,5000,-1.8320289910749507e-13,4.83446257548374e-15,4.8298079474487314e-15,True,1.610497416163178e-06
464166,469166,5000,-1.837013010456757e-13,4.338717424428488e-15,4.334539782165528e-15,True,1.4454607370443292e-06
469166,469900,734,-1.8396954888271468e-13,4.071899436245731e-15,4.07185936161218e-15,True,1.3865789769041115e-08
