window,method,span_iterations,predicted_mass_change_kg,observed_mass_change_kg,absolute_mismatch_kg,inlet_mass_normalizer_kg,closure,wall_kg,inlet_kg,outlet_01_kg,outlet_02_kg,outlet_03_kg
1x,left_rectangle,119751,1.4464467708151922e-18,3.841705620288848e-30,1.4464467708113505e-18,7.056105825541644e-16,0.002049922161846712,5.229033364088982e-18,7.056105825542438e-16,-3.677756336251075e-17,-5.193950795300365e-16,-1.5322052625497032e-16
1x,right_rectangle,119751,1.4464467708180764e-18,3.841705620288848e-30,1.4464467708142348e-18,7.056105825541644e-16,0.0020499221618507997,5.229033364108561e-18,7.056105825542479e-16,-3.6777563362513715e-17,-5.193950795300464e-16,-1.5322052625497829e-16
1x,trapezoidal,119751,1.446446770816622e-18,3.841705620288848e-30,1.4464467708127803e-18,7.056105825541644e-16,0.0020499221618487384,5.229033364098772e-18,7.056105825542459e-16,-3.677756336251223e-17,-5.193950795300415e-16,-1.5322052625497432e-16
1x,timestep_phase_shifted,119751,1.446446770816622e-18,3.841705620288848e-30,1.4464467708127803e-18,7.056105825541644e-16,0.0020499221618487384,5.229033364098772e-18,7.056105825542459e-16,-3.677756336251223e-17,-5.193950795300415e-16,-1.5322052625497432e-16
2x,left_rectangle,239502,2.8928935416972403e-18,3.841705620288848e-30,2.8928935416933984e-18,1.4112211651083288e-15,0.0020499221618968085,1.0458066728206374e-17,1.411221165108517e-15,-7.355512672502503e-17,-1.0387901590600681e-15,-3.0644105250993296e-16
2x,right_rectangle,239502,2.8928935416332932e-18,3.841705620288848e-30,2.8928935416294514e-18,1.4112211651083288e-15,0.0020499221618514953,1.0458066728197544e-17,1.4112211651084917e-15,-7.355512672502446e-17,-1.038790159060083e-15,-3.064410525099486e-16
2x,trapezoidal,239502,2.892893541665094e-18,3.841705620288848e-30,2.8928935416612523e-18,1.4112211651083288e-15,0.00204992216187403,1.0458066728201958e-17,1.4112211651085043e-15,-7.355512672502476e-17,-1.0387901590600756e-15,-3.0644105250994084e-16
2x,timestep_phase_shifted,239502,2.892893541665094e-18,3.841705620288848e-30,2.8928935416612523e-18,1.4112211651083288e-15,0.00204992216187403,1.0458066728201958e-17,1.4112211651085043e-15,-7.355512672502476e-17,-1.0387901590600756e-15,-3.0644105250994084e-16
4x,left_rectangle,479004,5.785787083353854e-18,0.0,5.785787083353854e-18,2.8224423302166576e-15,0.002049922161885137,2.0916133456419913e-17,2.82244233021702e-15,-1.4711025345005166e-16,-2.077580318120153e-15,-6.128821050198817e-16
4x,right_rectangle,479004,5.785787083353854e-18,0.0,5.785787083353854e-18,2.8224423302166576e-15,0.002049922161885137,2.0916133456419913e-17,2.82244233021702e-15,-1.4711025345005166e-16,-2.077580318120153e-15,-6.128821050198817e-16
4x,trapezoidal,479004,5.785787083353854e-18,0.0,5.785787083353854e-18,2.8224423302166576e-15,0.002049922161885137,2.0916133456419913e-17,2.82244233021702e-15,-1.4711025345005166e-16,-2.077580318120153e-15,-6.128821050198817e-16
4x,timestep_phase_shifted,479004,5.785787083353854e-18,0.0,5.785787083353854e-18,2.8224423302166576e-15,0.002049922161885137,2.0916133456419913e-17,2.82244233021702e-15,-1.4711025345005166e-16,-2.077580318120153e-15,-6.128821050198817e-16
8x,left_rectangle,958008,1.1571574166707708e-17,0.0,1.1571574166707708e-17,5.644884660433315e-15,0.002049922161885137,4.1832266912839826e-17,5.64488466043404e-15,-2.942205069001033e-16,-4.155160636240306e-15,-1.2257642100397634e-15
8x,right_rectangle,958008,1.1571574166707708e-17,0.0,1.1571574166707708e-17,5.644884660433315e-15,0.002049922161885137,4.1832266912839826e-17,5.64488466043404e-15,-2.942205069001033e-16,-4.155160636240306e-15,-1.2257642100397634e-15
8x,trapezoidal,958008,1.1571574166707708e-17,0.0,1.1571574166707708e-17,5.644884660433315e-15,0.002049922161885137,4.1832266912839826e-17,5.64488466043404e-15,-2.942205069001033e-16,-4.155160636240306e-15,-1.2257642100397634e-15
8x,timestep_phase_shifted,958008,1.1571574166707708e-17,0.0,1.1571574166707708e-17,5.644884660433315e-15,0.002049922161885137,4.1832266912839826e-17,5.64488466043404e-15,-2.942205069001033e-16,-4.155160636240306e-15,-1.2257642100397634e-15
maximum_available,left_rectangle,2638923,3.187498769815491e-17,0.0,3.187498769815491e-17,1.5549364893366928e-14,0.0020499221618853506,1.152309075690725e-16,1.5549364893368928e-14,-8.104580157267385e-16,-1.144578017268037e-14,-3.3764826248327385e-15
maximum_available,right_rectangle,2638923,3.187498769815491e-17,0.0,3.187498769815491e-17,1.5549364893366928e-14,0.0020499221618853506,1.152309075690725e-16,1.5549364893368928e-14,-8.104580157267385e-16,-1.144578017268037e-14,-3.3764826248327385e-15
maximum_available,trapezoidal,2638923,3.187498769815491e-17,0.0,3.187498769815491e-17,1.5549364893366928e-14,0.0020499221618853506,1.152309075690725e-16,1.5549364893368928e-14,-8.104580157267385e-16,-1.144578017268037e-14,-3.3764826248327385e-15
maximum_available,timestep_phase_shifted,2638923,3.187498769815491e-17,0.0,3.187498769815491e-17,1.5549364893366928e-14,0.0020499221618853506,1.152309075690725e-16,1.5549364893368928e-14,-8.104580157267385e-16,-1.144578017268037e-14,-3.3764826248327385e-15
