window,method,span_iterations,predicted_mass_change_kg,observed_mass_change_kg,absolute_mismatch_kg,inlet_mass_normalizer_kg,closure,wall_kg,inlet_kg,outlet_01_kg,outlet_02_kg,outlet_03_kg
1x,left_rectangle,119751,7.384965737652421e-26,3.841705620288848e-30,7.384581567090392e-26,7.056105825541644e-16,1.0465519862754514e-10,3.816360499100589e-18,7.056105825542438e-16,-3.677756336251075e-17,-5.194288533620136e-16,-1.5322052625497032e-16
1x,right_rectangle,119751,7.385234443398262e-26,3.841705620288848e-30,7.384850272836233e-26,7.056105825541644e-16,1.0465900675843894e-10,3.816360499119948e-18,7.056105825542479e-16,-3.6777563362513715e-17,-5.194288533620236e-16,-1.5322052625497829e-16
1x,trapezoidal,119751,7.385079136407546e-26,3.841705620288848e-30,7.384694965845518e-26,7.056105825541644e-16,1.046568057286563e-10,3.816360499110269e-18,7.056105825542459e-16,-3.677756336251223e-17,-5.194288533620187e-16,-1.5322052625497432e-16
1x,timestep_phase_shifted,119751,7.385079136407546e-26,3.841705620288848e-30,7.384694965845518e-26,7.056105825541644e-16,1.046568057286563e-10,3.816360499110269e-18,7.056105825542459e-16,-3.677756336251223e-17,-5.194288533620187e-16,-1.5322052625497432e-16
2x,left_rectangle,239502,1.477661707147659e-25,3.841705620288848e-30,1.477623290091456e-25,1.4112211651083288e-15,1.0470529542958137e-10,7.632720998229477e-18,1.411221165108517e-15,-7.355512672502503e-17,-1.0388577067240223e-15,-3.0644105250993296e-16
2x,right_rectangle,239502,1.477018292471838e-25,3.841705620288848e-30,1.4769798754156352e-25,1.4112211651083288e-15,1.0465970266979793e-10,7.632720998220538e-18,1.4112211651084917e-15,-7.355512672502446e-17,-1.0388577067240373e-15,-3.064410525099486e-16
2x,trapezoidal,239502,1.4773402463287814e-25,3.841705620288848e-30,1.4773018292725785e-25,1.4112211651083288e-15,1.0468251651817999e-10,7.632720998225007e-18,1.4112211651085043e-15,-7.355512672502476e-17,-1.0388577067240298e-15,-3.0644105250994084e-16
2x,timestep_phase_shifted,239502,1.4773402463287814e-25,3.841705620288848e-30,1.4773018292725785e-25,1.4112211651083288e-15,1.0468251651817999e-10,7.632720998225007e-18,1.4112211651085043e-15,-7.355512672502476e-17,-1.0388577067240298e-15,-3.0644105250994084e-16
4x,left_rectangle,479004,2.954909262320077e-25,0.0,2.954909262320077e-25,2.8224423302166576e-15,1.0469334415393532e-10,1.5265441996465897e-17,2.82244233021702e-15,-1.4711025345005166e-16,-2.0777154134480615e-15,-6.128821050198817e-16
4x,right_rectangle,479004,2.954909262320077e-25,0.0,2.954909262320077e-25,2.8224423302166576e-15,1.0469334415393532e-10,1.5265441996465897e-17,2.82244233021702e-15,-1.4711025345005166e-16,-2.0777154134480615e-15,-6.128821050198817e-16
4x,trapezoidal,479004,2.954909262320077e-25,0.0,2.954909262320077e-25,2.8224423302166576e-15,1.0469334415393532e-10,1.5265441996465897e-17,2.82244233021702e-15,-1.4711025345005166e-16,-2.0777154134480615e-15,-6.128821050198817e-16
4x,timestep_phase_shifted,479004,2.954909262320077e-25,0.0,2.954909262320077e-25,2.8224423302166576e-15,1.0469334415393532e-10,1.5265441996465897e-17,2.82244233021702e-15,-1.4711025345005166e-16,-2.0777154134480615e-15,-6.128821050198817e-16
8x,left_rectangle,958008,5.909818524640154e-25,0.0,5.909818524640154e-25,5.644884660433315e-15,1.0469334415393532e-10,3.0530883992931794e-17,5.64488466043404e-15,-2.942205069001033e-16,-4.155430826896123e-15,-1.2257642100397634e-15
8x,right_rectangle,958008,5.909818524640154e-25,0.0,5.909818524640154e-25,5.644884660433315e-15,1.0469334415393532e-10,3.0530883992931794e-17,5.64488466043404e-15,-2.942205069001033e-16,-4.155430826896123e-15,-1.2257642100397634e-15
8x,trapezoidal,958008,5.909818524640154e-25,0.0,5.909818524640154e-25,5.644884660433315e-15,1.0469334415393532e-10,3.0530883992931794e-17,5.64488466043404e-15,-2.942205069001033e-16,-4.155430826896123e-15,-1.2257642100397634e-15
8x,timestep_phase_shifted,958008,5.909818524640154e-25,0.0,5.909818524640154e-25,5.644884660433315e-15,1.0469334415393532e-10,3.0530883992931794e-17,5.64488466043404e-15,-2.942205069001033e-16,-4.155430826896123e-15,-1.2257642100397634e-15
maximum_available,left_rectangle,2638923,1.6279182131325944e-24,0.0,1.6279182131325944e-24,1.5549364893366928e-14,1.04693550141526e-10,8.410018703317672e-17,1.5549364893368928e-14,-8.104580157267385e-16,-1.1446524438214709e-14,-3.3764826248327385e-15
maximum_available,right_rectangle,2638923,1.6279182131325944e-24,0.0,1.6279182131325944e-24,1.5549364893366928e-14,1.04693550141526e-10,8.410018703317672e-17,1.5549364893368928e-14,-8.104580157267385e-16,-1.1446524438214709e-14,-3.3764826248327385e-15
maximum_available,trapezoidal,2638923,1.6279182131325944e-24,0.0,1.6279182131325944e-24,1.5549364893366928e-14,1.04693550141526e-10,8.410018703317672e-17,1.5549364893368928e-14,-8.104580157267385e-16,-1.1446524438214709e-14,-3.3764826248327385e-15
maximum_available,timestep_phase_shifted,2638923,1.6279182131325944e-24,0.0,1.6279182131325944e-24,1.5549364893366928e-14,1.04693550141526e-10,8.410018703317672e-17,1.5549364893368928e-14,-8.104580157267385e-16,-1.1446524438214709e-14,-3.3764826248327385e-15
