window,method,span_iterations,predicted_mass_change_kg,observed_mass_change_kg,absolute_mismatch_kg,inlet_mass_normalizer_kg,closure,wall_kg,inlet_kg,outlet_01_kg,outlet_02_kg,outlet_03_kg
1x,left_rectangle,119751,-2.0888057222289984e-20,3.841705620288848e-30,2.088805722613169e-20,7.056105825541644e-16,2.960281172445181e-05,3.761698536051577e-18,7.056105825542438e-16,-3.677756336251075e-17,-5.193950795300365e-16,-1.5322052625497032e-16
1x,right_rectangle,119751,-2.088805721950432e-20,3.841705620288848e-30,2.0888057223346025e-20,7.056105825541644e-16,2.9602811720503932e-05,3.761698536070935e-18,7.056105825542479e-16,-3.6777563362513715e-17,-5.193950795300464e-16,-1.5322052625497829e-16
1x,trapezoidal,119751,-2.0888057220860173e-20,3.841705620288848e-30,2.088805722470188e-20,7.056105825541644e-16,2.9602811722425467e-05,3.761698536061256e-18,7.056105825542459e-16,-3.677756336251223e-17,-5.193950795300415e-16,-1.5322052625497432e-16
1x,timestep_phase_shifted,119751,-2.0888057220860173e-20,3.841705620288848e-30,2.088805722470188e-20,7.056105825541644e-16,2.9602811722425467e-05,3.761698536061256e-18,7.056105825542459e-16,-3.677756336251223e-17,-5.193950795300415e-16,-1.5322052625497432e-16
2x,left_rectangle,239502,-4.177611437752679e-20,3.841705620288848e-30,4.17761143813685e-20,1.4112211651083288e-15,2.960281167421526e-05,7.523397072131563e-18,1.411221165108517e-15,-7.355512672502503e-17,-1.0387901590600681e-15,-3.0644105250993296e-16
2x,right_rectangle,239502,-4.177611444167104e-20,3.841705620288848e-30,4.177611444551275e-20,1.4112211651083288e-15,2.9602811719668273e-05,7.523397072122512e-18,1.4112211651084917e-15,-7.355512672502446e-17,-1.038790159060083e-15,-3.064410525099486e-16
2x,trapezoidal,239502,-4.177611440967287e-20,3.841705620288848e-30,4.177611441351458e-20,1.4112211651083288e-15,2.960281169699417e-05,7.523397072127037e-18,1.4112211651085043e-15,-7.355512672502476e-17,-1.0387901590600756e-15,-3.0644105250994084e-16
2x,timestep_phase_shifted,239502,-4.177611440967287e-20,3.841705620288848e-30,4.177611441351458e-20,1.4112211651083288e-15,2.960281169699417e-05,7.523397072127037e-18,1.4112211651085043e-15,-7.355512672502476e-17,-1.0387901590600756e-15,-3.0644105250994084e-16
4x,left_rectangle,479004,-8.355222879607435e-20,0.0,8.355222879607435e-20,2.8224423302166576e-15,2.9602811686026787e-05,1.5046794144269997e-17,2.82244233021702e-15,-1.4711025345005166e-16,-2.077580318120153e-15,-6.128821050198817e-16
4x,right_rectangle,479004,-8.355222879607435e-20,0.0,8.355222879607435e-20,2.8224423302166576e-15,2.9602811686026787e-05,1.5046794144269997e-17,2.82244233021702e-15,-1.4711025345005166e-16,-2.077580318120153e-15,-6.128821050198817e-16
4x,trapezoidal,479004,-8.355222879607435e-20,0.0,8.355222879607435e-20,2.8224423302166576e-15,2.9602811686026787e-05,1.5046794144269997e-17,2.82244233021702e-15,-1.4711025345005166e-16,-2.077580318120153e-15,-6.128821050198817e-16
4x,timestep_phase_shifted,479004,-8.355222879607435e-20,0.0,8.355222879607435e-20,2.8224423302166576e-15,2.9602811686026787e-05,1.5046794144269997e-17,2.82244233021702e-15,-1.4711025345005166e-16,-2.077580318120153e-15,-6.128821050198817e-16
8x,left_rectangle,958008,-1.671044575921487e-19,0.0,1.671044575921487e-19,5.644884660433315e-15,2.9602811686026787e-05,3.0093588288539993e-17,5.64488466043404e-15,-2.942205069001033e-16,-4.155160636240306e-15,-1.2257642100397634e-15
8x,right_rectangle,958008,-1.671044575921487e-19,0.0,1.671044575921487e-19,5.644884660433315e-15,2.9602811686026787e-05,3.0093588288539993e-17,5.64488466043404e-15,-2.942205069001033e-16,-4.155160636240306e-15,-1.2257642100397634e-15
8x,trapezoidal,958008,-1.671044575921487e-19,0.0,1.671044575921487e-19,5.644884660433315e-15,2.9602811686026787e-05,3.0093588288539993e-17,5.64488466043404e-15,-2.942205069001033e-16,-4.155160636240306e-15,-1.2257642100397634e-15
8x,timestep_phase_shifted,958008,-1.671044575921487e-19,0.0,1.671044575921487e-19,5.644884660433315e-15,2.9602811686026787e-05,3.0093588288539993e-17,5.64488466043404e-15,-2.942205069001033e-16,-4.155160636240306e-15,-1.2257642100397634e-15
maximum_available,left_rectangle,2638923,-4.603049207734725e-19,0.0,4.603049207734725e-19,1.5549364893366928e-14,2.960281168588629e-05,8.289561495014532e-17,1.5549364893368928e-14,-8.104580157267385e-16,-1.144578017268037e-14,-3.3764826248327385e-15
maximum_available,right_rectangle,2638923,-4.603049207734725e-19,0.0,4.603049207734725e-19,1.5549364893366928e-14,2.960281168588629e-05,8.289561495014532e-17,1.5549364893368928e-14,-8.104580157267385e-16,-1.144578017268037e-14,-3.3764826248327385e-15
maximum_available,trapezoidal,2638923,-4.603049207734725e-19,0.0,4.603049207734725e-19,1.5549364893366928e-14,2.960281168588629e-05,8.289561495014532e-17,1.5549364893368928e-14,-8.104580157267385e-16,-1.144578017268037e-14,-3.3764826248327385e-15
maximum_available,timestep_phase_shifted,2638923,-4.603049207734725e-19,0.0,4.603049207734725e-19,1.5549364893366928e-14,2.960281168588629e-05,8.289561495014532e-17,1.5549364893368928e-14,-8.104580157267385e-16,-1.144578017268037e-14,-3.3764826248327385e-15
