cell_index,tree_id,i,j,k,x_m,y_m,z_m,port_boundary_labels,boundary_cap_representation
0,20775398,11,94,93,8.107277157903459e-05,7.864635942453769e-05,0.00011251639894086849,outlet_02,True
1,20775426,11,94,94,8.107277157903459e-05,7.864635942453769e-05,0.00011277639894086849,outlet_02,True
19,20831362,11,98,90,8.107277157903459e-05,7.96863594245377e-05,0.00011173639894086849,outlet_02,True
20,20831364,11,99,90,8.107277157903459e-05,7.99463594245377e-05,0.00011173639894086849,outlet_02,True
35,20831479,10,101,91,8.081277157903459e-05,8.046635942453768e-05,0.00011199639894086849,outlet_02,True
115,20831710,9,102,93,8.055277157903459e-05,8.072635942453768e-05,0.00011251639894086849,outlet_02,True
343,20887777,10,94,96,8.081277157903459e-05,7.864635942453769e-05,0.0001132963989408685,outlet_02,True
76850,80084960,385,319,157,0.00017831277157903457,0.0001371463594245377,0.0001291563989408685,outlet_03,True
76852,80084988,385,319,158,0.00017831277157903457,0.0001371463594245377,0.0001294163989408685,outlet_03,True
76854,80084992,385,319,159,0.00017831277157903457,0.0001371463594245377,0.0001296763989408685,outlet_03,True
76856,80197340,385,319,160,0.00017831277157903457,0.0001371463594245377,0.0001299363989408685,outlet_03,True
76859,80534269,384,326,155,0.0001780527715790346,0.00013896635942453768,0.0001286363989408685,outlet_03,True
76860,80534271,384,327,155,0.0001780527715790346,0.00013922635942453768,0.0001286363989408685,outlet_03,True
76863,80534350,385,320,157,0.00017831277157903457,0.00013740635942453768,0.0001291563989408685,outlet_03,True
76866,80534491,384,327,156,0.0001780527715790346,0.00013922635942453768,0.0001288963989408685,outlet_03,True
76867,80535369,384,328,156,0.0001780527715790346,0.00013948635942453768,0.0001288963989408685,outlet_03,True
76868,80535373,384,328,157,0.0001780527715790346,0.00013948635942453768,0.0001291563989408685,outlet_03,True
76869,80535401,384,328,158,0.0001780527715790346,0.00013948635942453768,0.0001294163989408685,outlet_03,True
76873,80646734,385,320,161,0.00017831277157903457,0.00013740635942453768,0.0001301963989408685,outlet_03,True
76876,80646762,385,320,162,0.00017831277157903457,0.00013740635942453768,0.0001304563989408685,outlet_03,True
76879,80646768,385,321,163,0.00017831277157903457,0.0001376663594245377,0.00013071639894086847,outlet_03,True
76881,80646782,385,322,163,0.00017831277157903457,0.00013792635942453768,0.00013071639894086847,outlet_03,True
76882,80646907,384,327,162,0.0001780527715790346,0.00013922635942453768,0.0001304563989408685,outlet_03,True
76884,80647753,384,328,160,0.0001780527715790346,0.00013948635942453768,0.0001299363989408685,outlet_03,True
76885,80647757,384,328,161,0.0001780527715790346,0.00013948635942453768,0.0001301963989408685,outlet_03,True
82602,122667048,135,383,301,0.0001133127715790346,0.0001537863594245377,0.0001665963989408685,outlet_01,True
82887,122667514,137,382,302,0.0001138327715790346,0.00015352635942453768,0.0001668563989408685,outlet_01,True
82912,122667585,142,382,302,0.0001151327715790346,0.00015352635942453768,0.0001668563989408685,outlet_01,True
82923,126261942,135,384,299,0.0001133127715790346,0.00015404635942453768,0.00016607639894086849,outlet_01,True
82924,126262162,135,384,300,0.0001133127715790346,0.00015404635942453768,0.0001663363989408685,outlet_01,True
82940,126262379,136,385,298,0.0001135727715790346,0.00015430635942453768,0.00016581639894086849,outlet_01,True
82955,126262452,143,385,298,0.0001153927715790346,0.00015430635942453768,0.00016581639894086849,outlet_01,True
82956,126265965,144,384,299,0.0001156527715790346,0.00015404635942453768,0.00016607639894086849,outlet_01,True
