cell_index,tree_id,i,j,k,x_m,y_m,z_m,port_boundary_labels,boundary_cap_representation
21276,166006792,19,159,159,8.10827715790346e-05,7.861482096299923e-05,0.00011274486047933003,outlet_02,True
21281,166062751,20,163,153,8.123661773288075e-05,7.923020557838384e-05,0.0001118217835562531,outlet_02,True
21283,166062763,20,161,154,8.123661773288075e-05,7.892251327069153e-05,0.00011197562971009926,outlet_02,True
21284,166062765,20,160,155,8.123661773288075e-05,7.876866711684538e-05,0.00011212947586394541,outlet_02,True
21285,166062767,20,161,155,8.123661773288075e-05,7.892251327069153e-05,0.00011212947586394541,outlet_02,True
21287,166062777,20,162,154,8.123661773288075e-05,7.907635942453769e-05,0.00011197562971009926,outlet_02,True
21297,166062820,19,167,152,8.10827715790346e-05,7.984559019376846e-05,0.00011166793740240695,outlet_02,True
21298,166062859,20,165,152,8.123661773288075e-05,7.953789788607615e-05,0.00011166793740240695,outlet_02,True
21339,166062985,20,160,156,8.123661773288075e-05,7.876866711684538e-05,0.00011228332201779156,outlet_02,True
21647,166063698,19,168,152,8.10827715790346e-05,7.999943634761461e-05,0.00011166793740240695,outlet_02,True
21649,166063717,18,170,153,8.092892542518843e-05,8.030712865530692e-05,0.0001118217835562531,outlet_02,True
21654,166063740,17,171,154,8.077507927134228e-05,8.046097480915307e-05,0.00011197562971009926,outlet_02,True
22206,166119143,18,159,161,8.092892542518843e-05,7.861482096299923e-05,0.00011305255278702233,outlet_02,True
22208,166119171,18,159,162,8.092892542518843e-05,7.861482096299923e-05,0.00011320639894086849,outlet_02,True
22211,166172210,15,164,166,8.046738696364998e-05,7.938405173222999e-05,0.0001138217835562531,outlet_02,True
22230,166175342,17,160,163,8.077507927134228e-05,7.876866711684538e-05,0.00011336024509471464,outlet_02,True
22413,166175581,16,162,165,8.062123311749613e-05,7.907635942453769e-05,0.00011366793740240695,outlet_02,True
347914,505108530,231,652,502,0.00011369815619441921,0.00015446097480915308,0.0001655140912485608,outlet_01,True
348188,505109536,229,647,509,0.00011339046388672691,0.0001536917440399223,0.0001665910143254839,outlet_01,True
348195,505109574,231,646,511,0.00011369815619441921,0.00015353789788607615,0.0001668987066331762,outlet_01,True
348610,505110174,229,650,505,0.00011339046388672691,0.00015415328250146078,0.00016597562971009926,outlet_01,True
348613,505110191,228,649,507,0.00011323661773288076,0.0001539994363476146,0.00016628332201779156,outlet_01,True
348616,505110410,229,648,508,0.00011339046388672691,0.00015384559019376845,0.0001664371681716377,outlet_01,True
348900,505112455,242,651,503,0.0001153904638867269,0.0001543071286553069,0.00016566793740240693,outlet_01,True
349044,505113576,243,647,509,0.00011554431004057305,0.0001536917440399223,0.0001665910143254839,outlet_01,True
349050,505113601,242,646,510,0.0001153904638867269,0.00015353789788607615,0.00016674486047933002,outlet_01,True
349064,505114212,243,651,504,0.00011554431004057305,0.0001543071286553069,0.0001658217835562531,outlet_01,True
349065,505114214,243,650,505,0.00011554431004057305,0.00015415328250146078,0.00016597562971009926,outlet_01,True
399203,625263094,651,540,271,0.00017831354080980383,0.00013723020557838384,0.00012997562971009925,outlet_03,True
399355,625277138,651,540,272,0.00017831354080980383,0.00013723020557838384,0.0001301294758639454,outlet_03,True
399357,625277142,651,540,273,0.00017831354080980383,0.00013723020557838384,0.00013028332201779155,outlet_03,True
399359,625277144,651,541,273,0.00017831354080980383,0.00013738405173223,0.00013028332201779155,outlet_03,True
399517,625317207,650,545,261,0.00017815969465595767,0.0001379994363476146,0.0001284371681716377,outlet_03,True
399522,625317221,650,546,261,0.00017815969465595767,0.00013815328250146077,0.0001284371681716377,outlet_03,True
