classification,location_evidence,cell_index,tree_id,direction_index_zero_based,direction,q_seeder,q_oracle,triangle_aabb_candidate_count,port_boundary_labels,x_m,y_m,z_m
SEEDER_ONLY_INTERSECTION,BOUNDARY_CAP_CELL,21276,166006792,1,0 -1 0,1.0,,0,outlet_02,8.10827715790346e-05,7.861482096299923e-05,0.00011274486047933003
SEEDER_ONLY_INTERSECTION,BOUNDARY_CAP_CELL,21276,166006792,7,0 -1 1,1.0,,1,outlet_02,8.10827715790346e-05,7.861482096299923e-05,0.00011274486047933003
SEEDER_ONLY_INTERSECTION,BOUNDARY_CAP_CELL,21280,166060600,2,0 0 -1,1.0,,0,outlet_02,8.046738696364998e-05,8.076866711684538e-05,0.00011274486047933003
SEEDER_ONLY_INTERSECTION,BOUNDARY_CAP_CELL,21280,166060600,12,-1 0 1,1.0,,1,outlet_02,8.046738696364998e-05,8.076866711684538e-05,0.00011274486047933003
SEEDER_ONLY_INTERSECTION,BOUNDARY_CAP_CELL,21281,166062751,1,0 -1 0,1.0,,0,outlet_02,8.123661773288075e-05,7.923020557838384e-05,0.0001118217835562531
SEEDER_ONLY_INTERSECTION,BOUNDARY_CAP_CELL,21281,166062751,2,0 0 -1,1.0,,0,outlet_02,8.123661773288075e-05,7.923020557838384e-05,0.0001118217835562531
SEEDER_ONLY_INTERSECTION,BOUNDARY_CAP_CELL,21281,166062751,8,0 1 -1,1.0,,0,outlet_02,8.123661773288075e-05,7.923020557838384e-05,0.0001118217835562531
SEEDER_ONLY_INTERSECTION,BOUNDARY_CAP_CELL,21281,166062751,11,1 0 -1,1.0,,3,outlet_02,8.123661773288075e-05,7.923020557838384e-05,0.0001118217835562531
SEEDER_ONLY_INTERSECTION,BOUNDARY_CAP_CELL,21282,166062752,14,-1 -1 0,1.0,,3,outlet_02,8.13904638867269e-05,7.923020557838384e-05,0.0001118217835562531
SEEDER_ONLY_INTERSECTION,BOUNDARY_CAP_CELL,21283,166062763,3,1 0 0,1.0,,0,outlet_02,8.123661773288075e-05,7.892251327069153e-05,0.00011197562971009926
SEEDER_ONLY_INTERSECTION,BOUNDARY_CAP_CELL,21283,166062763,8,0 1 -1,1.0,,0,outlet_02,8.123661773288075e-05,7.892251327069153e-05,0.00011197562971009926
SEEDER_ONLY_INTERSECTION,BOUNDARY_CAP_CELL,21284,166062765,3,1 0 0,1.0,,0,outlet_02,8.123661773288075e-05,7.876866711684538e-05,0.00011212947586394541
SEEDER_ONLY_INTERSECTION,BOUNDARY_CAP_CELL,21284,166062765,7,0 -1 1,1.0,,0,outlet_02,8.123661773288075e-05,7.876866711684538e-05,0.00011212947586394541
SEEDER_ONLY_INTERSECTION,BOUNDARY_CAP_CELL,21287,166062777,2,0 0 -1,1.0,,0,outlet_02,8.123661773288075e-05,7.907635942453769e-05,0.00011197562971009926
SEEDER_ONLY_INTERSECTION,BOUNDARY_CAP_CELL,21288,166062778,10,-1 0 -1,1.0,,2,outlet_02,8.13904638867269e-05,7.907635942453769e-05,0.00011197562971009926
SEEDER_ONLY_INTERSECTION,BOUNDARY_CAP_CELL,21298,166062859,1,0 -1 0,1.0,,2,outlet_02,8.123661773288075e-05,7.953789788607615e-05,0.00011166793740240695
SEEDER_ONLY_INTERSECTION,BOUNDARY_CAP_CELL,21339,166062985,1,0 -1 0,1.0,,0,outlet_02,8.123661773288075e-05,7.876866711684538e-05,0.00011228332201779156
SEEDER_ONLY_INTERSECTION,BOUNDARY_CAP_CELL,21647,166063698,15,-1 1 0,1.0,,2,outlet_02,8.10827715790346e-05,7.999943634761461e-05,0.00011166793740240695
SEEDER_ONLY_INTERSECTION,BOUNDARY_CAP_CELL,21648,166063704,10,-1 0 -1,1.0,,2,outlet_02,8.10827715790346e-05,8.015328250146077e-05,0.0001118217835562531
SEEDER_ONLY_INTERSECTION,BOUNDARY_CAP_CELL,21649,166063717,2,0 0 -1,1.0,,0,outlet_02,8.092892542518843e-05,8.030712865530692e-05,0.0001118217835562531
SEEDER_ONLY_INTERSECTION,BOUNDARY_CAP_CELL,21649,166063717,6,0 -1 -1,1.0,,0,outlet_02,8.092892542518843e-05,8.030712865530692e-05,0.0001118217835562531
SEEDER_ONLY_INTERSECTION,BOUNDARY_CAP_CELL,21654,166063740,4,0 1 0,1.0,,0,outlet_02,8.077507927134228e-05,8.046097480915307e-05,0.00011197562971009926
SEEDER_ONLY_INTERSECTION,BOUNDARY_CAP_CELL,21654,166063740,11,1 0 -1,1.0,,2,outlet_02,8.077507927134228e-05,8.046097480915307e-05,0.00011197562971009926
SEEDER_ONLY_INTERSECTION,BOUNDARY_CAP_CELL,21696,166063854,0,-1 0 0,1.0,,1,outlet_02,8.077507927134228e-05,8.061482096299923e-05,0.00011212947586394541
SEEDER_ONLY_INTERSECTION,BOUNDARY_CAP_CELL,21800,166064079,0,-1 0 0,1.0,,1,outlet_02,8.062123311749613e-05,8.076866711684538e-05,0.00011243716817163772
SEEDER_ONLY_INTERSECTION,BOUNDARY_CAP_CELL,21800,166064079,12,-1 0 1,1.0,,1,outlet_02,8.062123311749613e-05,8.076866711684538e-05,0.00011243716817163772
SEEDER_ONLY_INTERSECTION,BOUNDARY_CAP_CELL,21810,166064107,0,-1 0 0,1.0,,0,outlet_02,8.062123311749613e-05,8.076866711684538e-05,0.00011259101432548388
SEEDER_ONLY_INTERSECTION,BOUNDARY_CAP_CELL,21810,166064107,10,-1 0 -1,1.0,,1,outlet_02,8.062123311749613e-05,8.076866711684538e-05,0.00011259101432548388
SEEDER_ONLY_INTERSECTION,BOUNDARY_CAP_CELL,21813,166064111,10,-1 0 -1,1.0,,0,outlet_02,8.062123311749613e-05,8.076866711684538e-05,0.00011274486047933003
SEEDER_ONLY_INTERSECTION,BOUNDARY_CAP_CELL,22205,166119140,1,0 -1 0,1.0,,1,outlet_02,8.10827715790346e-05,7.861482096299923e-05,0.00011289870663317618
SEEDER_ONLY_INTERSECTION,BOUNDARY_CAP_CELL,22205,166119140,6,0 -1 -1,1.0,,1,outlet_02,8.10827715790346e-05,7.861482096299923e-05,0.00011289870663317618
SEEDER_ONLY_INTERSECTION,BOUNDARY_CAP_CELL,22208,166119171,5,0 0 1,1.0,,2,outlet_02,8.092892542518843e-05,7.861482096299923e-05,0.00011320639894086849
SEEDER_ONLY_INTERSECTION,BOUNDARY_CAP_CELL,22208,166119171,12,-1 0 1,1.0,,2,outlet_02,8.092892542518843e-05,7.861482096299923e-05,0.00011320639894086849
SEEDER_ONLY_INTERSECTION,BOUNDARY_CAP_CELL,22211,166172210,1,0 -1 0,1.0,,0,outlet_02,8.046738696364998e-05,7.938405173222999e-05,0.0001138217835562531
SEEDER_ONLY_INTERSECTION,BOUNDARY_CAP_CELL,22212,166172212,15,-1 1 0,1.0,,0,outlet_02,8.046738696364998e-05,7.953789788607615e-05,0.0001138217835562531
SEEDER_ONLY_INTERSECTION,BOUNDARY_CAP_CELL,22213,166172226,0,-1 0 0,1.0,,0,outlet_02,8.046738696364998e-05,7.96917440399223e-05,0.0001138217835562531
SEEDER_ONLY_INTERSECTION,BOUNDARY_CAP_CELL,22214,166172228,14,-1 -1 0,1.0,,1,outlet_02,8.046738696364998e-05,7.984559019376846e-05,0.0001138217835562531
SEEDER_ONLY_INTERSECTION,BOUNDARY_CAP_CELL,22215,166172872,0,-1 0 0,1.0,,1,outlet_02,8.046738696364998e-05,8.046097480915307e-05,0.00011336024509471464
SEEDER_ONLY_INTERSECTION,BOUNDARY_CAP_CELL,22217,166172950,0,-1 0 0,1.0,,0,outlet_02,8.046738696364998e-05,8.061482096299923e-05,0.00011305255278702233
SEEDER_ONLY_INTERSECTION,BOUNDARY_CAP_CELL,22217,166172950,12,-1 0 1,1.0,,0,outlet_02,8.046738696364998e-05,8.061482096299923e-05,0.00011305255278702233
SEEDER_ONLY_INTERSECTION,BOUNDARY_CAP_CELL,22218,166172978,0,-1 0 0,1.0,,0,outlet_02,8.046738696364998e-05,8.061482096299923e-05,0.00011320639894086849
SEEDER_ONLY_INTERSECTION,BOUNDARY_CAP_CELL,22218,166172978,10,-1 0 -1,1.0,,0,outlet_02,8.046738696364998e-05,8.061482096299923e-05,0.00011320639894086849
SEEDER_ONLY_INTERSECTION,BOUNDARY_CAP_CELL,22219,166172982,10,-1 0 -1,1.0,,3,outlet_02,8.046738696364998e-05,8.061482096299923e-05,0.00011336024509471464
SEEDER_ONLY_INTERSECTION,BOUNDARY_CAP_CELL,22219,166172982,14,-1 -1 0,1.0,,3,outlet_02,8.046738696364998e-05,8.061482096299923e-05,0.00011336024509471464
SEEDER_ONLY_INTERSECTION,BOUNDARY_CAP_CELL,22220,166173080,0,-1 0 0,1.0,,2,outlet_02,8.046738696364998e-05,8.015328250146077e-05,0.00011366793740240695
SEEDER_ONLY_INTERSECTION,BOUNDARY_CAP_CELL,22220,166173080,14,-1 -1 0,1.0,,2,outlet_02,8.046738696364998e-05,8.015328250146077e-05,0.00011366793740240695
SEEDER_ONLY_INTERSECTION,BOUNDARY_CAP_CELL,22221,166173090,0,-1 0 0,1.0,,0,outlet_02,8.046738696364998e-05,8.030712865530692e-05,0.00011351409124856079
SEEDER_ONLY_INTERSECTION,BOUNDARY_CAP_CELL,22222,166173092,10,-1 0 -1,1.0,,2,outlet_02,8.046738696364998e-05,8.046097480915307e-05,0.00011351409124856079
SEEDER_ONLY_INTERSECTION,BOUNDARY_CAP_CELL,22222,166173092,14,-1 -1 0,1.0,,3,outlet_02,8.046738696364998e-05,8.046097480915307e-05,0.00011351409124856079
SEEDER_ONLY_INTERSECTION,BOUNDARY_CAP_CELL,22223,166173094,10,-1 0 -1,1.0,,4,outlet_02,8.046738696364998e-05,8.030712865530692e-05,0.00011366793740240695
