port,property_row,cell_index_zero_based,tree_id,normal_index_one_based,incoming_pdf_index_one_based,outgoing_storage_pdf_index_one_based,old_outgoing_pdf,replacement_incoming_equilibrium_pdf,domain_mass_delta_lattice,signed_port_mass_flow_kg_s
inlet,61526,183797,87650694,9,9,8,0.027960384120517868,0.02796181304015985,1.4289196419818573e-06,4.944491780285535e-16
inlet,61526,183797,87650694,9,12,13,0.027960833277574922,0.027961810481119082,9.772035441599214e-07,3.3814182056194115e-16
inlet,61527,183798,87650695,9,9,8,0.027960554405145974,0.02796181275927018,1.2583541242061624e-06,4.3542837826738836e-16
inlet,61527,183798,87650695,9,12,13,0.027960648411019216,0.027961811611951135,1.1632009319188785e-06,4.0250251152796414e-16
inlet,61528,183799,87650696,7,7,10,0.027961665520221196,0.027962057417120285,3.918968990886118e-07,1.356081153433843e-16
inlet,61528,183799,87650696,7,11,14,0.027961684500342004,0.027962088631536892,4.04131194887275e-07,1.3984154969733938e-16
inlet,61540,183823,87650736,9,9,8,0.027960182847222008,0.027961810152337743,1.6273051157353335e-06,5.630965193823068e-16
inlet,61540,183823,87650736,9,12,13,0.027961170816561947,0.027961817221622158,6.464050602110472e-07,2.236755946972335e-16
inlet,61543,183826,87650743,3,7,10,0.02796174198598436,0.027961910812424755,1.6882644039706296e-07,5.841902667671094e-17
inlet,61543,183826,87650743,3,9,8,0.027960150531627457,0.027961902550043643,1.752018416185941e-06,6.062510727142945e-16
inlet,61544,183827,87650744,3,7,10,0.02796184453702768,0.027962021791051225,1.7725402354576425e-07,6.13352239478627e-17
inlet,61544,183827,87650744,3,9,8,0.027960103535675098,0.02796201482160027,1.911285925172701e-06,6.613624215903838e-16
inlet,61547,183832,87650749,3,7,10,0.027961798935651448,0.02796197442261861,1.7548696716260248e-07,6.072376928623271e-17
inlet,61547,183832,87650749,3,9,8,0.027960310908403306,0.027961958051064873,1.6471426615670415e-06,5.699609069534564e-16
inlet,61548,183833,87650750,7,7,10,0.0279617372051563,0.027962193100171825,4.558950155268693e-07,1.5775338869436384e-16
inlet,61548,183833,87650750,7,11,14,0.02796163882885376,0.027962352278145433,7.134492916727186e-07,2.468749154734542e-16
inlet,61549,183834,87650751,3,3,6,0.05592071164073767,0.05592487266564136,4.161024903692745e-06,1.439839780306793e-15
inlet,61549,183834,87650751,3,7,10,0.027961816220923714,0.0279622766096323,4.6038870858688963e-07,1.5930834166341813e-16
inlet,61549,183834,87650751,3,11,14,0.027961675442624127,0.027962420693045213,7.452504210865574e-07,2.578790628286152e-16
inlet,61550,183835,87650752,3,3,6,0.0559204373296444,0.055924751686280874,4.314356636475614e-06,1.4928971720681876e-15
inlet,61550,183835,87650752,3,7,10,0.027961622955655435,0.02796231603872603,6.930830705950686e-07,2.3982759036465725e-16
inlet,61550,183835,87650752,3,11,14,0.027961503428506163,0.02796246152178464,9.58093278477512e-07,3.315290937990358e-16
inlet,61550,183835,87650752,3,12,13,0.027960820437899835,0.027962290164758763,1.4697268589276835e-06,5.085697025728951e-16
inlet,61551,183840,87650757,3,3,6,0.05592066449181695,0.055924831224156694,4.166732339744295e-06,1.4418147248603055e-15
inlet,61551,183840,87650757,3,7,10,0.027961789973233384,0.0279622532274571,4.6325422371762404e-07,1.6029989609334737e-16
inlet,61551,183840,87650757,3,11,14,0.027961509451304795,0.027962504869046775,9.954177419800592e-07,3.444444808907793e-16
