iteration,target_lattice,controlled_lattice,relative_error,rho_boundary,pressure_pa,max_lattice_velocity,minimum_pdf,globBC_count
154327,0.00234787245957609,0.002347872459571719,1.8615303313846475e-12,1.006595787427532,23778.127930109407,1.6875013360038753e-05,0.027959243612059356,287
154328,0.00234787245957609,0.002347872459568648,3.1696626797539738e-12,1.0065957928192826,23778.128057475064,1.6875013478504778e-05,0.027959243761806647,287
154329,0.00234787245957609,0.002347872459568317,3.310598147391053e-12,1.0065957982109193,23778.128184838035,1.6875013597364056e-05,0.027959243911550677,287
154330,0.00234787245957609,0.002347872459572944,1.3399028600778163e-12,1.006595803602436,23778.128312198172,1.687501371609928e-05,0.027959244061291466,287
154331,0.00234787245957609,0.0023478724595782886,9.364912462909469e-13,1.0065958089938363,23778.128439555556,1.687501383470742e-05,0.027959244211028998,287
154332,0.00234787245957609,0.0023478724595697377,2.705480726710749e-12,1.0065958143851204,23778.128566910193,1.687501395338493e-05,0.02795924436076329,287
154333,0.00234787245957609,0.002347872459568336,3.302470807186556e-12,1.0065958197762868,23778.12869426205,1.6875014072186616e-05,0.027959244510494308,287
154334,0.00234787245957609,0.0023478724595758726,9.254085096484503e-14,1.0065958251673381,23778.12882161119,1.687501419122945e-05,0.027959244660222086,287
154335,0.00234787245957609,0.002347872459571487,1.9603513997802404e-12,1.006595830558269,23778.128948957485,1.687501430993572e-05,0.02795924480994661,287
154336,0.00234787245957609,0.002347872459569055,2.996217851298905e-12,1.0065958359490843,23778.12907630105,1.687501442858956e-05,0.02795924495966789,287
154337,0.00234787245957609,0.002347872459575524,2.4104952197429696e-13,1.006595841339783,23778.129203641864,1.687501454738571e-05,0.027959245109385904,287
154338,0.00234787245957609,0.002347872459575239,3.6240548820963265e-13,1.0065958467303637,23778.129330979886,1.6875014666049913e-05,0.02795924525910068,287
154339,0.00234787245957609,0.002347872459568539,3.216025461375084e-12,1.0065958521208282,23778.129458315165,1.6875014784795055e-05,0.027959245408812193,287
154340,0.00234787245957609,0.002347872459577376,5.478566146940727e-13,1.0065958575111762,23778.129585647686,1.6875014903656404e-05,0.027959245558520463,287
154341,0.00234787245957609,0.002347872459573787,9.808221928609324e-13,1.0065958629014056,23778.12971297741,1.687501502235043e-05,0.02795924570822548,287
154342,0.00234787245957609,0.0023478724595689493,3.0412876469783905e-12,1.0065958682915177,23778.129840304366,1.6875015140929777e-05,0.027959245857927244,287
154343,0.00234787245957609,0.002347872459576944,3.638831864286322e-13,1.0065958736815146,23778.1299676286,1.687501525972062e-05,0.02795924600762576,287
154344,0.00234787245957609,0.0023478724595770066,3.9048175437062356e-13,1.0065958790713943,23778.130094950062,1.6875015378596495e-05,0.027959246157321028,287
154345,0.00234787245957609,0.002347872459570914,2.204541030469911e-12,1.0065958844611538,23778.130222268686,1.6875015497091434e-05,0.02795924630701303,287
154346,0.00234787245957609,0.002347872459574125,8.36931328785854e-13,1.0065958898507998,23778.13034958463,1.687501561584044e-05,0.027959246456701795,287
154347,0.00234787245957609,0.0023478724595737198,1.0094525958540482e-12,1.0065958952403284,23778.1304768978,1.6875015734749373e-05,0.027959246606387312,287
154348,0.00234787245957609,0.002347872459577701,6.862061104479029e-13,1.0065959006297387,23778.130604208174,1.687501585354746e-05,0.027959246756069568,287
154349,0.00234787245957609,0.002347872459569162,2.95077863106467e-12,1.0065959060190304,23778.13073151575,1.6875015971943356e-05,0.027959246905748573,287
154350,0.00234787245957609,0.0023478724595690564,2.99566371446678e-12,1.006595911408209,23778.130858820652,1.687501609076895e-05,0.02795924705542434,287
154351,0.00234787245957609,0.0023478724595734873,1.1084583765270162e-12,1.0065959167972678,23778.130986122724,1.6875016209451137e-05,0.02795924720509685,287
154352,0.00234787245957609,0.002347872459574741,5.74455182636064e-13,1.0065959221862102,23778.131113422045,1.6875016328070705e-05,0.02795924735476611,287
154353,0.00234787245957609,0.0023478724595726976,1.4448194336267823e-12,1.0065959275750367,23778.131240718627,1.687501644687793e-05,0.02795924750443212,287
154354,0.00234787245957609,0.002347872459568674,3.1585799431114774e-12,1.0065959329637428,23778.13136801237,1.6875016565325206e-05,0.027959247654094882,287
154355,0.00234787245957609,0.002347872459568496,3.234311976835203e-12,1.0065959383523346,23778.13149530341,1.6875016683798654e-05,0.027959247803754382,287
154356,0.00234787245957609,0.0023478724595720323,1.7281680671199404e-12,1.0065959437408105,23778.131622591714,1.6875016802646612e-05,0.02795924795341064,287
154357,0.00234787245957609,0.002347872459569471,2.8190787772963372e-12,1.0065959491291683,23778.131749877226,1.6875016921505965e-05,0.027959248103063657,287
154358,0.00234787245957609,0.00234787245957286,1.3755523296111796e-12,1.0065959545174088,23778.13187715997,1.6875017040347188e-05,0.02795924825271342,287
154359,0.00234787245957609,0.0023478724595714347,1.982701585342608e-12,1.0065959599055323,23778.132004439947,1.6875017159066608e-05,0.02795924840235993,287
154360,0.00234787245957609,0.002347872459568807,3.1018732739573706e-12,1.0065959652935386,23778.132131717157,1.6875017277766966e-05,0.02795924855200318,287
154361,0.00234787245957609,0.0023478724595766714,2.476991639597948e-13,1.006595970681429,23778.132258991627,1.6875017396548107e-05,0.02795924870164318,287
154362,0.00234787245957609,0.002347872459569309,2.888161169034565e-12,1.0065959760691985,23778.132386263245,1.6875017514901188e-05,0.02795924885127995,287
154363,0.00234787245957609,0.002347872459573002,1.3151514149095742e-12,1.0065959814568557,23778.132513532204,1.687501763359351e-05,0.02795924900091346,287
154364,0.00234787245957609,0.0023478724595764936,1.719671302360693e-13,1.0065959868443932,23778.132640798343,1.687501775216723e-05,0.027959249150543722,287
154365,0.00234787245957609,0.002347872459569676,2.7317098700979906e-12,1.0065959922318148,23778.132768061743,1.6875017870828732e-05,0.027959249300170734,287
