iteration,physical_time_s,wall_clock_s,total_density
0,0.0,0.032311158,221109.0
100,2.4414062499999984e-06,2.854932283,221117.8347943
200,4.882812499999984e-06,4.733619747,221122.3705327
300,7.324218749999969e-06,6.6033367609999996,221125.8238937
400,9.765625000000029e-06,8.456745194,221128.7374578
500,1.2207031250000099e-05,10.277553988,221131.3145965
600,1.4648437500000169e-05,12.125391873,221133.657714
700,1.708984375000024e-05,13.954801136,221135.8274599
800,1.953125000000031e-05,15.819203545,221137.8634721
900,2.197265625000038e-05,17.690163744,221139.7933206
1000,2.441406250000045e-05,19.562079008,221141.6369881
1100,2.685546875000052e-05,21.402844952,221143.4093835
1200,2.929687500000059e-05,23.241073633,221145.1218774
1300,3.173828125000049e-05,25.29328441,221146.7832967
1400,3.417968750000022e-05,27.372898593,221148.4005991
1500,3.662109374999995e-05,29.420311486,221149.9793439
1600,3.906249999999968e-05,31.558175803,221151.5240286
1700,4.1503906249999413e-05,33.719344664,221153.0383341
1800,4.3945312499999145e-05,35.663134291,221154.5253062
1900,4.6386718749998876e-05,37.657762491,221155.9874914
2000,4.882812499999861e-05,39.526485339,221157.4270399
2100,5.126953124999834e-05,41.283849682,221158.8457837
2200,5.371093749999807e-05,43.243078302,221160.2452981
2300,5.61523437499978e-05,45.316480755,221161.6269486
2400,5.859374999999753e-05,47.379306346,221162.9919282
2500,6.103515624999726e-05,49.303280618,221164.3412868
2600,6.3476562499997e-05,51.165404417,221165.6759546
2700,6.591796874999672e-05,53.039890852,221166.9967613
2800,6.835937499999646e-05,54.934323747,221168.3044508
2900,7.080078124999619e-05,56.817187538,221169.5996945
3000,7.324218749999592e-05,58.606065962,221170.8831004
3100,7.568359374999565e-05,60.447257143,221172.1552225
3200,7.812499999999538e-05,62.384744325,221173.4165673
3300,8.056640624999511e-05,64.08261688,221174.6675999
3400,8.300781249999484e-05,65.910703525,221175.9087487
3500,8.544921874999457e-05,67.878476723,221177.1404097
3600,8.78906249999943e-05,69.807517894,221178.3629502
3700,9.033203124999404e-05,71.931157808,221179.5767116
