iteration,pressure_current,pressure_history_mean,pressure_residual_pa,pressure_ratio_to_threshold,velocity_current,velocity_history_mean,velocity_residual_m_s,velocity_ratio_to_threshold
172464,23682.32764773964,23682.16890157867,0.15874616097062244,158.74616097062244,6.057596399412032e-05,6.0401987215702734e-05,1.7397677841758956e-07,173.97677841758954
172564,23682.33055656977,23682.17216556122,0.15839100855009747,158.39100855009747,6.057915354208608e-05,6.04055634240502e-05,1.7359011803587805e-07,173.59011803587805
172664,23682.33345888893,23682.17542224326,0.15803664566919906,158.03664566919906,6.058233599492381e-05,6.040913168799803e-05,1.7320430692578122e-07,173.20430692578122
172764,23682.33635471169,23682.17867164102,0.15768307066900888,157.68307066900888,6.058551136824398e-05,6.0412692024980306e-05,1.7281934326367101e-07,172.81934326367102
172864,23682.33924405252,23682.18191377068,0.1573302818396769,157.3302818396769,6.058867967762506e-05,6.0416244452393805e-05,1.724352252312523e-07,172.43522523125228
172964,23682.34212692586,23682.18514864839,0.15697827747135307,156.97827747135307,6.059184093860998e-05,6.0419788987597964e-05,1.7205195101201886e-07,172.05195101201886
173064,23682.34500334601,23682.188376290276,0.15662705573413405,156.62705573413405,6.059499516671094e-05,6.0423325647915e-05,1.7166951879594262e-07,171.66951879594262
173164,23682.34787332743,23682.19159671242,0.15627661501275725,156.27661501275725,6.059814237740313e-05,6.0426854450629995e-05,1.7128792677313778e-07,171.28792677313777
173264,23682.35073688459,23682.194809930865,0.1559269537247019,155.9269537247019,6.06012825861325e-05,6.0430375412990986e-05,1.7090717314151126e-07,170.90717314151124
173364,23682.35359403123,23682.198015961625,0.15557806960350717,155.57806960350717,6.060441580830944e-05,6.0433888552209006e-05,1.7052725610043363e-07,170.52725610043362
173464,23682.35644478232,23682.201214820674,0.15522996164509095,155.22996164509095,6.060754205931161e-05,6.043739388545818e-05,1.7014817385342933e-07,170.1481738534293
