depth_cells,depth_um,port,visited_cell_count,cut_face_count,Q_m3_s,Mdot_kg_s,q_outward_m3_s,mass_outward_kg_s,inlet_q_relative_error,inlet_mass_flow_relative_error,signed_volumetric_balance_error,signed_mass_balance_error,outlet_02_sign,cross_port_overlap,global_balance_valid
1,0.19999999999999998,inlet,176,333,5.397375739796646e-16,5.73616445989166e-13,-5.397375739796646e-16,-5.73616445989166e-13,0.29845066695418804,0.2939536054814793,0.07941156462724545,0.08798244744516216,NEGATIVE,False,True
1,0.19999999999999998,outlet_01,117,196,2.924477482391454e-17,3.0901525719899205e-14,2.924477482391454e-17,3.0901525719899205e-14,0.29845066695418804,0.2939536054814793,0.07941156462724545,0.08798244744516216,NEGATIVE,False,True
1,0.19999999999999998,outlet_02,112,198,-1.990804762158722e-16,-2.1140470365568572e-13,-1.990804762158722e-16,-2.1140470365568572e-13,0.29845066695418804,0.2939536054814793,0.07941156462724545,0.08798244744516216,NEGATIVE,False,True
1,0.19999999999999998,outlet_03,137,237,6.667118701337835e-16,7.0365144511203e-13,6.667118701337835e-16,7.0365144511203e-13,0.29845066695418804,0.2939536054814793,0.07941156462724545,0.08798244744516216,NEGATIVE,False,True
2,0.39999999999999997,inlet,361,350,5.410561941255729e-16,5.750163860538449e-13,-5.410561941255729e-16,-5.750163860538449e-13,0.2967367283134486,0.29223046340262193,0.07940076823303882,0.08795932592929859,NEGATIVE,False,True
2,0.39999999999999997,outlet_01,247,210,2.930221101466908e-17,3.096222796098806e-14,2.930221101466908e-17,3.096222796098806e-14,0.2967367283134486,0.29223046340262193,0.07940076823303882,0.08795932592929859,NEGATIVE,False,True
2,0.39999999999999997,outlet_02,234,210,-1.9956870533032389e-16,-2.119223736211011e-13,-1.9956870533032389e-16,-2.119223736211011e-13,0.2967367283134486,0.29223046340262193,0.07940076823303882,0.08795932592929859,NEGATIVE,False,True
2,0.39999999999999997,outlet_03,290,254,6.68362410970413e-16,7.053984779983604e-13,6.68362410970413e-16,7.053984779983604e-13,0.2967367283134486,0.29223046340262193,0.07940076823303882,0.08795932592929859,NEGATIVE,False,True
3,0.6,inlet,546,335,5.403841325219808e-16,5.743007233213076e-13,-5.403841325219808e-16,-5.743007233213076e-13,0.29761027203635326,0.2931113500918588,0.07686829338253318,0.08543239806322722,NEGATIVE,False,True
3,0.6,outlet_01,377,215,2.932474325360274e-17,3.098604926766111e-14,2.932474325360274e-17,3.098604926766111e-14,0.29761027203635326,0.2931113500918588,0.07686829338253318,0.08543239806322722,NEGATIVE,False,True
3,0.6,outlet_02,357,205,-1.9936623215484169e-16,-2.1170661537881305e-13,-1.9936623215484169e-16,-2.1170661537881305e-13,0.29761027203635326,0.2931113500918588,0.07686829338253318,0.08543239806322722,NEGATIVE,False,True
3,0.6,outlet_03,443,257,6.688872153852544e-16,7.059574014296743e-13,6.688872153852544e-16,7.059574014296743e-13,0.29761027203635326,0.2931113500918588,0.07686829338253318,0.08543239806322722,NEGATIVE,False,True
4,0.7999999999999999,inlet,717,328,5.394343923850719e-16,5.732899400022852e-13,-5.394343923850719e-16,-5.732899400022852e-13,0.29884474151140294,0.29435549140444717,0.07428326038313988,0.08285199473795284,NEGATIVE,False,True
4,0.7999999999999999,outlet_01,511,222,2.935813566715138e-17,3.1021347003597566e-14,2.935813566715138e-17,3.1021347003597566e-14,0.29884474151140294,0.29435549140444717,0.07428326038313988,0.08285199473795284,NEGATIVE,False,True
4,0.7999999999999999,outlet_02,476,198,-1.9901138615769438e-16,-2.113291286328755e-13,-1.9901138615769438e-16,-2.113291286328755e-13,0.29884474151140294,0.29435549140444717,0.07428326038313988,0.08285199473795284,NEGATIVE,False,True
4,0.7999999999999999,outlet_03,597,257,6.690166974464538e-16,7.060995065391724e-13,6.690166974464538e-16,7.060995065391724e-13,0.29884474151140294,0.29435549140444717,0.07428326038313988,0.08285199473795284,NEGATIVE,False,True
5,1.0,inlet,887,329,5.388526311296356e-16,5.726701894319899e-13,-5.388526311296356e-16,-5.726701894319899e-13,0.29960091310370834,0.29511832283774614,0.07439034339343643,0.08294717756851744,NEGATIVE,False,True
5,1.0,outlet_01,647,222,2.9363295068427153e-17,3.102681238797323e-14,2.9363295068427153e-17,3.102681238797323e-14,0.29960091310370834,0.29511832283774614,0.07439034339343643,0.08294717756851744,NEGATIVE,False,True
5,1.0,outlet_02,592,200,-1.9898547525712185e-16,-2.1130098543043466e-13,-1.9898547525712185e-16,-2.1130098543043466e-13,0.29960091310370834,0.29511832283774614,0.07439034339343643,0.08294717756851744,NEGATIVE,False,True
5,1.0,outlet_03,751,255,6.6838937905014e-16,7.054429865834395e-13,6.6838937905014e-16,7.054429865834395e-13,0.29960091310370834,0.29511832283774614,0.07439034339343643,0.08294717756851744,NEGATIVE,False,True
6,1.2,inlet,1053,330,5.387863366705983e-16,5.725982691879315e-13,-5.387863366705983e-16,-5.725982691879315e-13,0.29968708244926506,0.295206847198171,0.07479417781985906,0.08333627781954804,NEGATIVE,False,True
6,1.2,outlet_01,783,225,2.936881429571445e-17,3.103265802863908e-14,2.936881429571445e-17,3.103265802863908e-14,0.29968708244926506,0.295206847198171,0.07479417781985906,0.08333627781954804,NEGATIVE,False,True
6,1.2,outlet_02,709,203,-1.990788601694526e-16,-2.1139954142274302e-13,-1.990788601694526e-16,-2.1139954142274302e-13,0.29968708244926506,0.295206847198171,0.07479417781985906,0.08333627781954804,NEGATIVE,False,True
6,1.2,outlet_03,904,247,6.681983014724853e-16,7.052469441419976e-13,6.681983014724853e-16,7.052469441419976e-13,0.29968708244926506,0.295206847198171,0.07479417781985906,0.08333627781954804,NEGATIVE,False,True
7,1.4,inlet,1225,332,5.383992529459911e-16,5.721854424337501e-13,-5.383992529459911e-16,-5.721854424337501e-13,0.3001902127516986,0.2957149826315056,0.072368638023243,0.0809121225563406,NEGATIVE,False,True
7,1.4,outlet_01,920,221,2.9354905975712616e-17,3.1017975445112136e-14,2.9354905975712616e-17,3.1017975445112136e-14,0.3001902127516986,0.2957149826315056,0.072368638023243,0.0809121225563406,NEGATIVE,False,True
7,1.4,outlet_02,824,207,-1.9875195585142208e-16,-2.110518201768227e-13,-1.9875195585142208e-16,-2.110518201768227e-13,0.3001902127516986,0.2957149826315056,0.072368638023243,0.0809121225563406,NEGATIVE,False,True
7,1.4,outlet_03,1056,245,6.688330821732676e-16,7.05922548522307e-13,6.688330821732676e-16,7.05922548522307e-13,0.3001902127516986,0.2957149826315056,0.072368638023243,0.0809121225563406,NEGATIVE,False,True
8,1.5999999999999999,inlet,1391,331,5.381220486193108e-16,5.718894387581546e-13,-5.381220486193108e-16,-5.718894387581546e-13,0.300550522131433,0.296079324221395,0.07381723653717875,0.08234413102133577,NEGATIVE,False,True
8,1.5999999999999999,outlet_01,1056,220,2.938413779857058e-17,3.1048876767610644e-14,2.938413779857058e-17,3.1048876767610644e-14,0.300550522131433,0.296079324221395,0.07381723653717875,0.08234413102133577,NEGATIVE,False,True
8,1.5999999999999999,outlet_02,940,213,-1.9921968997278262e-16,-2.1154792447015528e-13,-1.9921968997278262e-16,-2.1154792447015528e-13,0.300550522131433,0.296079324221395,0.07381723653717875,0.08234413102133577,NEGATIVE,False,True
8,1.5999999999999999,outlet_03,1205,242,6.682349182447199e-16,7.052967475858796e-13,6.682349182447199e-16,7.052967475858796e-13,0.300550522131433,0.296079324221395,0.07381723653717875,0.08234413102133577,NEGATIVE,False,True
