metric,value,unit,target,threshold,status,source
Qin,2.728393297831303e-15,m3/s,2.7369132390905703e-15,0.01,PASS,PHYSICAL_INTERIOR_CROSS_SECTION_VELOCITY_FLUX
Qout_total,2.724180907077963e-15,m3/s,2.728393297831303e-15,0.01,PASS,PHYSICAL_INTERIOR_CROSS_SECTION_VELOCITY_FLUX
physical_closure,0.0015439089213012042,1,0.0,0.01,PASS,CONTINUOUS_APERTURE_GAUSS_MLS_QUADRATIC_V2
outlet_01_flow_fraction,0.052038316381177195,1,,0.01,PASS,PHYSICAL_INTERIOR_CROSS_SECTION_VELOCITY_FLUX
outlet_02_flow_fraction,0.7318288235826557,1,,0.01,PASS,PHYSICAL_INTERIOR_CROSS_SECTION_VELOCITY_FLUX
outlet_03_flow_fraction,0.21613286003616722,1,,0.01,PASS,PHYSICAL_INTERIOR_CROSS_SECTION_VELOCITY_FLUX
inlet_gauge_pressure,531.4319468452595,Pa,,1e-06,PASS,accepted controller record
DeltaP01,516.8869687439852,Pa,,1e-06,PASS,gauge pressure difference
DeltaP02,399.227397622084,Pa,,1e-06,PASS,gauge pressure difference
DeltaP03,545.132573518571,Pa,,1e-06,PASS,gauge pressure difference
rho_mean,1.0000492996793002,lattice,1.0,"[0.9,1.1]",PASS,decoded accepted restart
minimum_pdf,0.027777432554529028,lattice,>0,0.0,PASS,decoded accepted restart
maximum_lattice_speed,1.227357835717639e-05,lattice,,0.05,PASS,decoded accepted restart
R_mass_short,0.0015439089925498484,1,0.0,0.01,PASS,accepted physical-time steady audit
R_mass_long,0.0015439090760771823,1,0.0,0.01,PASS,accepted physical-time steady audit
Full_V2,7.913943402747673e-10,1,0.0,1e-08,PASS,MUSUBI_ONE_STEP_DISCRETE_MASS_IDENTITY_V2
