branch_id,upstream_node_id,downstream_node_id,source_node_ids,point_count,component_id,root_node_id,depth,parent_branch_ids,daughter_branch_ids,strahler_order,horsfield_order,downstream_terminal_count,downstream_branch_count,raw_length_um,derived_length_um,tortuosity,mean_radius_um,proximal_boundary_contact,distal_boundary_contact,flow_direction_rule
0,2410,2419,2410;2411;2412;2413;2414;2415;2416;2417;2418;2419,10,0,2410,0,,1;2,6,17,122,242,25.008115037037744,24.967138868046817,1.0857689716276164,4.999775722297416,False,False,upstream_node_id -> downstream_node_id
1,2419,2427,2419;2420;2421;2422;2423;2424;2425;2426;2427,9,0,2410,1,0,3;4,5,16,73,145,9.642722129664035,9.635854218569134,1.0116394926062453,5.024195340677786,False,False,upstream_node_id -> downstream_node_id
2,2419,2540,2419;2510;2511;2512;2513;2514;2515;2516;2517;2518;2519;2520;2521;2522;2523;2524;2525;2526;2527;2528;2529;2530;2531;2532;2533;2534;2535;2536;2537;2538;2539;2540,32,0,2410,1,0,9;10,5,16,49,96,40.503443044308916,40.45900925065257,1.0270336954755828,4.518497690001347,False,False,upstream_node_id -> downstream_node_id
3,2427,2430,2427;2428;2429;2430,4,0,2410,2,1,5;6,4,14,42,83,10.722842394877881,10.717262392293634,1.005851132252617,4.164290026557972,False,False,upstream_node_id -> downstream_node_id
4,2427,2608,2427;2588;2589;2590;2591;2592;2593;2594;2595;2596;2597;2598;2599;2600;2601;2602;2603;2604;2605;2606;2607;2608,22,0,2410,2,1,15;16,4,15,31,61,29.803537060667143,29.76739205819909,1.1224543516385788,3.260037951852539,False,False,upstream_node_id -> downstream_node_id
5,2430,2475,2430;2431;2432;2433;2434;2435;2436;2437;2438;2439;2440;2441;2442;2443;2444;2445;2446;2447;2448;2449;2450;2451;2452;2453;2454;2455;2456;2457;2458;2459;2460;2461;2462;2463;2464;2465;2466;2467;2468;2469;2470;2471;2472;2473;2474;2475,46,0,2410,3,3,7;8,4,13,36,71,61.604854780127035,61.553842945489706,1.098570651236697,1.5558625917836892,False,False,upstream_node_id -> downstream_node_id
6,2430,2730,2430;2718;2719;2720;2721;2722;2723;2724;2725;2726;2727;2728;2729;2730,14,0,2410,3,3,19;20,3,4,6,11,13.956033656564141,13.943524019604949,1.021547179438614,3.635493767850711,False,False,upstream_node_id -> downstream_node_id
7,2475,2509,2475;2476;2477;2478;2479;2480;2481;2482;2483;2484;2485;2486;2487;2488;2489;2490;2491;2492;2493;2494;2495;2496;2497;2498;2499;2500;2501;2502;2503;2504;2505;2506;2507;2508;2509,35,0,2410,4,5,,1,1,1,1,47.30722431574628,47.255176732066346,1.1722796016201171,1.1124950006950856,False,False,upstream_node_id -> downstream_node_id
8,2475,2851,2475;2835;2836;2837;2838;2839;2840;2841;2842;2843;2844;2845;2846;2847;2848;2849;2850;2851,18,0,2410,4,5,25;26,4,12,35,69,18.68052254263667,18.592755484061954,1.115060410200768,1.1392615026373756,False,False,upstream_node_id -> downstream_node_id
9,2540,2550,2540;2541;2542;2543;2544;2545;2546;2547;2548;2549;2550,11,0,2410,2,2,11;12,5,15,41,80,18.616744664625266,18.59216823957478,1.0666714035200364,2.8842640681912415,False,False,upstream_node_id -> downstream_node_id
10,2540,2900,2540;2891;2892;2893;2894;2895;2896;2897;2898;2899;2900,11,0,2410,2,2,31;32,3,6,8,15,16.26530331860012,16.223101440259725,1.1091301437634726,3.81479767341543,False,False,upstream_node_id -> downstream_node_id
11,2550,2552,2550;2551;2552,3,0,2410,3,9,13;14,5,14,40,78,7.836569273597851,7.830897683411285,1.011506688078991,1.8855789168756867,False,False,upstream_node_id -> downstream_node_id
12,2550,2933,2550;2923;2924;2925;2926;2927;2928;2929;2930;2931;2932;2933,12,0,2410,3,9,,1,1,1,1,17.361569328262085,17.33463689425789,1.0337402234841668,1.5011027823926824,False,False,upstream_node_id -> downstream_node_id
13,2552,2587,2552;2553;2554;2555;2556;2557;2558;2559;2560;2561;2562;2563;2564;2565;2566;2567;2568;2569;2570;2571;2572;2573;2574;2575;2576;2577;2578;2579;2580;2581;2582;2583;2584;2585;2586;2587,36,0,2410,4,11,,1,1,1,1,52.58344675692505,52.536626830331635,1.0327208863819677,1.815060084115377,False,False,upstream_node_id -> downstream_node_id
