node_id,role,component_id,root_node_id,source_index,x_um,y_um,z_um,radius_raw_um,indegree,outdegree
2410,inferred_inlet,0,2410,0,60.95,124.99,108.96,4.1541,0,1
2419,divergence_junction,0,2410,9,74.1,131.12,126.8,5.1319,1,2
2427,divergence_junction,0,2410,17,77.57,122.43,128.58,4.7721,1,2
2430,divergence_junction,0,2410,20,81.68,117.39,137.02,3.4267,1,2
2475,divergence_junction,0,2410,65,134.03,128.13,153.86,1.3131,1,2
2509,inferred_outlet,0,2410,99,105.35,155.35,146.02,1.0,1,0
2540,divergence_junction,0,2410,130,73.91,165.91,145.28,3.7238,1,2
2550,divergence_junction,0,2410,140,88.76,162.25,153.64,2.2302,1,2
2552,divergence_junction,0,2410,142,91.0,159.0,160.3,1.6468,1,2
2587,inferred_outlet,0,2410,177,61.62,118.03,153.5,2.4416,1,0
2608,divergence_junction,0,2410,198,82.44,99.88,115.5,1.6451,1,2
2674,divergence_junction,0,2410,264,133.55,51.04,158.38,1.2612,1,2
2717,inferred_outlet,0,2410,307,111.73,1.88,133.46,1.59,1,0
2730,divergence_junction,0,2410,320,85.09,104.5,139.94,3.2789,1,2
2809,divergence_junction,0,2410,399,172.57,122.48,100.12,1.1977,1,2
2827,divergence_junction,0,2410,417,181.0,100.5,80.0,1.0235,1,2
2834,inferred_outlet,0,2410,424,188.86,101.57,75.72,1.0,1,0
2851,divergence_junction,0,2410,441,150.6,129.5,152.6,1.1189,1,2
2863,divergence_junction,0,2410,453,155.41,114.79,152.36,1.0613,1,2
2875,divergence_junction,0,2410,465,173.7,114.4,143.48,2.3449,1,2
2890,inferred_outlet,0,2410,480,189.25,111.5,151.0,1.8751,1,0
2900,divergence_junction,0,2410,490,68.05,179.3,145.84,4.0488,1,2
2922,inferred_outlet,0,2410,512,52.63,157.0,143.12,2.1029,1,0
2933,inferred_outlet,0,2410,523,102.7,156.43,146.36,1.2325,1,0
2965,divergence_junction,0,2410,555,104.02,124.2,199.48,2.7639,1,2
2992,divergence_junction,0,2410,582,129.25,155.17,184.84,1.016,1,2
3044,inferred_outlet,0,2410,634,189.25,184.85,167.2,1.0,1,0
3107,divergence_junction,0,2410,697,13.17,69.83,150.0,4.5855,1,2
3126,inferred_outlet,0,2410,716,1.0,80.65,109.0,5.1215,1,0
3150,divergence_junction,0,2410,740,162.68,42.77,138.64,3.4011,1,2
3173,inferred_outlet,0,2410,763,188.25,54.5,165.0,1.8114,1,0
3238,divergence_junction,0,2410,828,92.0,49.0,111.0,1.128,1,2
3274,divergence_junction,0,2410,864,130.04,82.04,87.18,1.097,1,2
3368,inferred_outlet,0,2410,958,114.0,189.0,100.0,1.1543,1,0
3422,inferred_outlet,0,2410,1012,155.33,187.12,144.1,1.142,1,0
3437,inferred_outlet,0,2410,1027,165.0,96.36,82.66,1.103,1,0
3461,divergence_junction,0,2410,1051,155.46,159.75,158.16,1.141,1,2
3488,inferred_outlet,0,2410,1078,188.25,167.58,151.16,1.0,1,0
3552,divergence_junction,0,2410,1142,85.94,102.28,173.76,2.3346,1,2
3587,divergence_junction,0,2410,1177,106.0,71.32,178.44,1.8803,1,2
3655,divergence_junction,0,2410,1245,53.51,61.0,236.72,7.5108,1,2
3700,inferred_outlet,0,2410,1290,1.8,34.9,268.6,3.751,1,0
3724,divergence_junction,0,2410,1314,152.96,87.66,108.8,4.5796,1,2
3749,divergence_junction,0,2410,1339,159.44,107.11,52.66,1.0717,1,2
3854,inferred_outlet,0,2410,1444,101.38,188.88,126.5,1.159,1,0
3963,divergence_junction,0,2410,1553,26.75,79.96,182.42,1.5627,1,2
4061,inferred_outlet,0,2410,1651,41.8,189.87,174.14,1.3327,1,0
4069,divergence_junction,0,2410,1659,98.36,116.43,209.28,2.5049,1,2
4129,divergence_junction,0,2410,1719,32.95,93.87,274.14,6.7172,1,2
4188,divergence_junction,0,2410,1778,44.29,156.57,290.0,3.7872,1,2
4231,inferred_outlet,0,2410,1821,2.0,174.0,250.24,1.0,1,0
4240,inferred_outlet,0,2410,1830,118.68,157.54,184.98,1.0,1,0
4252,divergence_junction,0,2410,1842,26.77,71.01,132.52,6.9178,1,2
4273,divergence_junction,0,2410,1863,25.78,49.86,111.98,9.0901,1,2
4275,divergence_junction,0,2410,1865,24.67,54.5,100.34,7.8638,1,2
4310,divergence_junction,0,2410,1900,20.73,78.58,39.82,5.7709,1,2
4346,inferred_outlet,0,2410,1936,2.75,112.95,34.04,4.8808,1,0
4363,divergence_junction,0,2410,1953,173.11,27.38,106.68,6.6002,1,2
4368,divergence_junction,0,2410,1958,172.91,19.33,99.62,6.2254,1,2
4385,inferred_outlet,0,2410,1975,158.44,2.33,107.12,5.2185,1,0
4461,inferred_outlet,0,2410,2051,75.6,2.2,74.0,6.4415,1,0
4484,inferred_outlet,0,2410,2074,164.01,96.36,82.78,1.255,1,0
4492,divergence_junction,0,2410,2082,150.22,167.67,163.12,1.019,1,2
4520,inferred_outlet,0,2410,2110,117.89,187.37,186.28,1.2124,1,0
4595,inferred_outlet,0,2410,2185,1.75,98.56,206.24,3.1879,1,0
4634,divergence_junction,0,2410,2224,149.12,77.77,155.96,5.1446,1,2
4671,inferred_outlet,0,2410,2261,188.25,58.5,131.0,5.2148,1,0
4680,divergence_junction,0,2410,2270,62.75,53.0,265.5,7.4275,1,2
4688,divergence_junction,0,2410,2278,54.62,42.54,267.46,7.3001,1,2
4713,divergence_junction,0,2410,2303,61.94,13.16,247.06,8.2646,1,2
4737,inferred_outlet,0,2410,2327,22.09,0.91,271.82,7.932,1,0
4773,inferred_outlet,0,2410,2363,189.25,69.75,98.12,5.1103,1,0
4793,divergence_junction,0,2410,2383,182.7,118.05,49.46,1.3889,1,2
4833,inferred_outlet,0,2410,2423,189.92,163.77,76.3,1.106,1,0
4846,divergence_junction,0,2410,2436,21.21,64.75,194.58,2.9113,1,2
4861,divergence_junction,0,2410,2451,10.05,48.44,208.08,3.606,1,2
4872,inferred_outlet,0,2410,2462,2.0,38.38,215.76,3.197,1,0
4875,divergence_junction,0,2410,2465,103.93,119.21,222.3,1.8204,1,2
4901,divergence_junction,0,2410,2491,133.88,125.12,225.76,5.1339,1,2
4902,divergence_junction,0,2410,2492,138.75,124.5,221.24,5.1866,1,2
4912,divergence_junction,0,2410,2502,144.33,119.33,244.0,3.1549,1,2
4969,inferred_outlet,0,2410,2559,188.25,78.5,285.0,1.3221,1,0
5000,inferred_outlet,0,2410,2590,1.66,74.1,316.6,4.0906,1,0
5058,divergence_junction,0,2410,2648,75.14,164.1,288.26,1.8997,1,2
5133,divergence_junction,0,2410,2723,49.63,147.91,229.04,6.7429,1,2
5145,divergence_junction,0,2410,2735,52.05,133.7,213.64,6.5638,1,2
5160,divergence_junction,0,2410,2750,36.01,121.86,221.4,7.0898,1,2
5211,divergence_junction,0,2410,2801,88.71,150.97,273.3,4.892,1,2
5237,divergence_junction,0,2410,2827,99.69,180.48,241.58,4.6094,1,2
5243,inferred_outlet,0,2410,2833,106.98,178.35,236.74,4.0503,1,0
5320,divergence_junction,0,2410,2910,24.38,156.57,194.24,1.3157,1,2
5356,inferred_outlet,0,2410,2946,56.54,187.91,199.08,2.9768,1,0
5369,divergence_junction,0,2410,2959,33.17,31.16,112.04,8.5784,1,2
