sample_id,cohort,source_stem,parent_group_id,tile_index_zyx,split,image_path,mask_path,swc_path,image_size_bytes,mask_size_bytes,swc_size_bytes,eligible,skip_reason,optional_auxiliary_notes
raw-analysis__fMOST_0_5_6_0_0_6_0000_00_00,raw-analysis,fMOST_0_5_6_0_0_6_0000_00_00,fMOST_0_5_6_0_0_6,"(0, 0, 0)",,E:\ULM\hatimb-particle_flow_simulator\ulm_3D_vascular\vessel_model\T - A high-resolution dataset of mouse brain vasculature\raw_data\analysis_data\analysis_data\images\fMOST_0_5_6_0_0_6_0000_00_00.tif,E:\ULM\hatimb-particle_flow_simulator\ulm_3D_vascular\vessel_model\T - A high-resolution dataset of mouse brain vasculature\raw_data\analysis_data\analysis_data\mask\fMOST_0_5_6_0_0_6_0000_00_00.tif,E:\ULM\hatimb-particle_flow_simulator\ulm_3D_vascular\vessel_model\T - A high-resolution dataset of mouse brain vasculature\raw_data\analysis_data\analysis_data\swc\fMOST_0_5_6_0_0_6_0000_00_00.swc,1225599,1324535,358598,True,,[]
raw-analysis__fMOST_0_5_6_0_0_6_0000_00_01,raw-analysis,fMOST_0_5_6_0_0_6_0000_00_01,fMOST_0_5_6_0_0_6,"(0, 0, 1)",,E:\ULM\hatimb-particle_flow_simulator\ulm_3D_vascular\vessel_model\T - A high-resolution dataset of mouse brain vasculature\raw_data\analysis_data\analysis_data\images\fMOST_0_5_6_0_0_6_0000_00_01.tif,E:\ULM\hatimb-particle_flow_simulator\ulm_3D_vascular\vessel_model\T - A high-resolution dataset of mouse brain vasculature\raw_data\analysis_data\analysis_data\mask\fMOST_0_5_6_0_0_6_0000_00_01.tif,E:\ULM\hatimb-particle_flow_simulator\ulm_3D_vascular\vessel_model\T - A high-resolution dataset of mouse brain vasculature\raw_data\analysis_data\analysis_data\swc\fMOST_0_5_6_0_0_6_0000_00_01.swc,1583844,1276766,396181,True,,[]
raw-analysis__fMOST_0_5_6_0_0_6_0000_00_02,raw-analysis,fMOST_0_5_6_0_0_6_0000_00_02,fMOST_0_5_6_0_0_6,"(0, 0, 2)",,E:\ULM\hatimb-particle_flow_simulator\ulm_3D_vascular\vessel_model\T - A high-resolution dataset of mouse brain vasculature\raw_data\analysis_data\analysis_data\images\fMOST_0_5_6_0_0_6_0000_00_02.tif,E:\ULM\hatimb-particle_flow_simulator\ulm_3D_vascular\vessel_model\T - A high-resolution dataset of mouse brain vasculature\raw_data\analysis_data\analysis_data\mask\fMOST_0_5_6_0_0_6_0000_00_02.tif,E:\ULM\hatimb-particle_flow_simulator\ulm_3D_vascular\vessel_model\T - A high-resolution dataset of mouse brain vasculature\raw_data\analysis_data\analysis_data\swc\fMOST_0_5_6_0_0_6_0000_00_02.swc,1660875,1431427,442093,True,,[]
raw-analysis__fMOST_0_5_6_0_0_6_0000_01_00,raw-analysis,fMOST_0_5_6_0_0_6_0000_01_00,fMOST_0_5_6_0_0_6,"(0, 1, 0)",,E:\ULM\hatimb-particle_flow_simulator\ulm_3D_vascular\vessel_model\T - A high-resolution dataset of mouse brain vasculature\raw_data\analysis_data\analysis_data\images\fMOST_0_5_6_0_0_6_0000_01_00.tif,E:\ULM\hatimb-particle_flow_simulator\ulm_3D_vascular\vessel_model\T - A high-resolution dataset of mouse brain vasculature\raw_data\analysis_data\analysis_data\mask\fMOST_0_5_6_0_0_6_0000_01_00.tif,E:\ULM\hatimb-particle_flow_simulator\ulm_3D_vascular\vessel_model\T - A high-resolution dataset of mouse brain vasculature\raw_data\analysis_data\analysis_data\swc\fMOST_0_5_6_0_0_6_0000_01_00.swc,1366107,1306778,318411,True,,[]
raw-analysis__fMOST_0_5_6_0_0_6_0000_01_01,raw-analysis,fMOST_0_5_6_0_0_6_0000_01_01,fMOST_0_5_6_0_0_6,"(0, 1, 1)",,E:\ULM\hatimb-particle_flow_simulator\ulm_3D_vascular\vessel_model\T - A high-resolution dataset of mouse brain vasculature\raw_data\analysis_data\analysis_data\images\fMOST_0_5_6_0_0_6_0000_01_01.tif,E:\ULM\hatimb-particle_flow_simulator\ulm_3D_vascular\vessel_model\T - A high-resolution dataset of mouse brain vasculature\raw_data\analysis_data\analysis_data\mask\fMOST_0_5_6_0_0_6_0000_01_01.tif,E:\ULM\hatimb-particle_flow_simulator\ulm_3D_vascular\vessel_model\T - A high-resolution dataset of mouse brain vasculature\raw_data\analysis_data\analysis_data\swc\fMOST_0_5_6_0_0_6_0000_01_01.swc,1421482,1182184,349182,True,,[]
raw-analysis__fMOST_0_5_6_0_0_6_0000_01_02,raw-analysis,fMOST_0_5_6_0_0_6_0000_01_02,fMOST_0_5_6_0_0_6,"(0, 1, 2)",,E:\ULM\hatimb-particle_flow_simulator\ulm_3D_vascular\vessel_model\T - A high-resolution dataset of mouse brain vasculature\raw_data\analysis_data\analysis_data\images\fMOST_0_5_6_0_0_6_0000_01_02.tif,E:\ULM\hatimb-particle_flow_simulator\ulm_3D_vascular\vessel_model\T - A high-resolution dataset of mouse brain vasculature\raw_data\analysis_data\analysis_data\mask\fMOST_0_5_6_0_0_6_0000_01_02.tif,E:\ULM\hatimb-particle_flow_simulator\ulm_3D_vascular\vessel_model\T - A high-resolution dataset of mouse brain vasculature\raw_data\analysis_data\analysis_data\swc\fMOST_0_5_6_0_0_6_0000_01_02.swc,1449055,1458957,372812,True,,[]
raw-analysis__fMOST_0_5_6_0_0_6_0000_02_00,raw-analysis,fMOST_0_5_6_0_0_6_0000_02_00,fMOST_0_5_6_0_0_6,"(0, 2, 0)",,E:\ULM\hatimb-particle_flow_simulator\ulm_3D_vascular\vessel_model\T - A high-resolution dataset of mouse brain vasculature\raw_data\analysis_data\analysis_data\images\fMOST_0_5_6_0_0_6_0000_02_00.tif,E:\ULM\hatimb-particle_flow_simulator\ulm_3D_vascular\vessel_model\T - A high-resolution dataset of mouse brain vasculature\raw_data\analysis_data\analysis_data\mask\fMOST_0_5_6_0_0_6_0000_02_00.tif,E:\ULM\hatimb-particle_flow_simulator\ulm_3D_vascular\vessel_model\T - A high-resolution dataset of mouse brain vasculature\raw_data\analysis_data\analysis_data\swc\fMOST_0_5_6_0_0_6_0000_02_00.swc,1101846,794808,198495,True,,[]
raw-analysis__fMOST_0_5_6_0_0_6_0000_02_01,raw-analysis,fMOST_0_5_6_0_0_6_0000_02_01,fMOST_0_5_6_0_0_6,"(0, 2, 1)",,E:\ULM\hatimb-particle_flow_simulator\ulm_3D_vascular\vessel_model\T - A high-resolution dataset of mouse brain vasculature\raw_data\analysis_data\analysis_data\images\fMOST_0_5_6_0_0_6_0000_02_01.tif,E:\ULM\hatimb-particle_flow_simulator\ulm_3D_vascular\vessel_model\T - A high-resolution dataset of mouse brain vasculature\raw_data\analysis_data\analysis_data\mask\fMOST_0_5_6_0_0_6_0000_02_01.tif,E:\ULM\hatimb-particle_flow_simulator\ulm_3D_vascular\vessel_model\T - A high-resolution dataset of mouse brain vasculature\raw_data\analysis_data\analysis_data\swc\fMOST_0_5_6_0_0_6_0000_02_01.swc,1250220,940064,372960,True,,[]
raw-analysis__fMOST_0_5_6_0_0_6_0000_02_02,raw-analysis,fMOST_0_5_6_0_0_6_0000_02_02,fMOST_0_5_6_0_0_6,"(0, 2, 2)",,E:\ULM\hatimb-particle_flow_simulator\ulm_3D_vascular\vessel_model\T - A high-resolution dataset of mouse brain vasculature\raw_data\analysis_data\analysis_data\images\fMOST_0_5_6_0_0_6_0000_02_02.tif,E:\ULM\hatimb-particle_flow_simulator\ulm_3D_vascular\vessel_model\T - A high-resolution dataset of mouse brain vasculature\raw_data\analysis_data\analysis_data\mask\fMOST_0_5_6_0_0_6_0000_02_02.tif,E:\ULM\hatimb-particle_flow_simulator\ulm_3D_vascular\vessel_model\T - A high-resolution dataset of mouse brain vasculature\raw_data\analysis_data\analysis_data\swc\fMOST_0_5_6_0_0_6_0000_02_02.swc,1297457,1080309,366867,True,,[]
raw-analysis__fMOST_0_5_6_0_0_6_0001_00_00,raw-analysis,fMOST_0_5_6_0_0_6_0001_00_00,fMOST_0_5_6_0_0_6,"(1, 0, 0)",,E:\ULM\hatimb-particle_flow_simulator\ulm_3D_vascular\vessel_model\T - A high-resolution dataset of mouse brain vasculature\raw_data\analysis_data\analysis_data\images\fMOST_0_5_6_0_0_6_0001_00_00.tif,E:\ULM\hatimb-particle_flow_simulator\ulm_3D_vascular\vessel_model\T - A high-resolution dataset of mouse brain vasculature\raw_data\analysis_data\analysis_data\mask\fMOST_0_5_6_0_0_6_0001_00_00.tif,E:\ULM\hatimb-particle_flow_simulator\ulm_3D_vascular\vessel_model\T - A high-resolution dataset of mouse brain vasculature\raw_data\analysis_data\analysis_data\swc\fMOST_0_5_6_0_0_6_0001_00_00.swc,1352784,1523890,323002,True,,[]
